pdf_contains,page,font_xref,font,zhuyin_component_id,bopomofo,verification,notes
114國小健體4下課本,,2403,YenRoundZuinnEG-Bd,14214,ㄆㄛˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=破；頁碼=5,52,141,148,195。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,2949,YenRoundZuinnEG-Bd,14214,ㄆㄛˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=破；頁碼=5,52,141,148,195。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,2235,LinGothicZuinnEG-Md,15187,ㄕㄤˇ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=賞；頁碼=126,127。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,243,YenRoundZuinnEG-Bd,15226,ㄖㄡˊ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=柔；頁碼=5,107,113,114。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,1884,YenRoundZuinnEG-Bd,15226,ㄖㄡˊ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=柔；頁碼=5,107,113,114。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,476,YenRoundZuinnEG-Md,14449,ㄊㄞˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=態；頁碼=19,125。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,2172,YenRoundZuinnEG-Md,14449,ㄊㄞˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=態；頁碼=19,125。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,1884,YenRoundZuinnEG-Bd,14830,ㄏㄨㄚ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=花；頁碼=116,124。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,476,YenRoundZuinnEG-Md,14888,ㄐㄧㄣˇ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=緊；頁碼=19,197。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,3040,YenRoundZuinnEG-Md,14888,ㄐㄧㄣˇ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=緊；頁碼=19,197。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,692,LinGothicZuinnEG-Bd,14471,ㄊㄧㄝ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=貼；頁碼=32。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,761,LinGothicZuinnEG-Bd,14781,ㄎㄨㄢ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=寬；頁碼=37。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,2171,LinGothicZuinnEG-Bd,15187,ㄕㄤˇ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=賞；頁碼=126,127。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,1319,LinGothicZuinnEG-Md,15176,ㄕㄡˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=受；頁碼=83。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,1884,YenRoundZuinnEG-Bd,14449,ㄊㄞˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=態；頁碼=108,110。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,1513,YenRoundZuinnEG-Bd,14758,ㄎㄢˇ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=砍；頁碼=100。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,243,YenRoundZuinnEG-Bd,14787,ㄎㄨㄤˊ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=狂；頁碼=4,74。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,1172,YenRoundZuinnEG-Bd,14787,ㄎㄨㄤˊ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=狂；頁碼=4,74。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,2949,YenRoundZuinnEG-Bd,14879,ㄐㄧㄠˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=叫；頁碼=181。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,514,YenRoundZuinnEG-Bd,15222,ㄖㄜˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=熱；頁碼=25,128。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,1884,YenRoundZuinnEG-Bd,15222,ㄖㄜˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=熱；頁碼=25,128。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,243,YenRoundZuinnEG-Bd,15350,ㄘㄨㄥ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=聰；頁碼=4,28。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,514,YenRoundZuinnEG-Bd,15350,ㄘㄨㄥ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=聰；頁碼=4,28。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,243,YenRoundZuinnEG-Bd,15495,ㄨㄛˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=臥；頁碼=5,96。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,1513,YenRoundZuinnEG-Bd,15495,ㄨㄛˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=臥；頁碼=5,96。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,2172,YenRoundZuinnEG-Md,14452,ㄊㄠˇ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,"全冊一般注音補齊；字元例=討；頁碼=121,125。使用 PDF+xref 限定，避免污染其他教材字型子集。"
114國小健體4下課本,,476,YenRoundZuinnEG-Md,14909,ㄐㄩㄣˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=菌；頁碼=19。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,3040,YenRoundZuinnEG-Md,15069,ㄓㄨㄢ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=專；頁碼=197。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,761,LinGothicZuinnEG-Bd,14491,ㄊㄨㄛˊ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=駝；頁碼=42。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,761,LinGothicZuinnEG-Bd,14794,ㄎㄨˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=褲；頁碼=43。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,761,LinGothicZuinnEG-Bd,14812,ㄏㄡˊ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=喉；頁碼=37。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,761,LinGothicZuinnEG-Bd,15016,ㄒㄩㄥ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=胸；頁碼=42。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,761,LinGothicZuinnEG-Bd,15100,ㄔㄠˊ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=巢；頁碼=41。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,692,LinGothicZuinnEG-Bd,15471,ㄧㄢˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=驗；頁碼=32。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,761,LinGothicZuinnEG-Bd,15503,ㄨㄢ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=彎；頁碼=42。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,1319,LinGothicZuinnEG-Md,14197,ㄅㄧㄥˇ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=餅；頁碼=73。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,1319,LinGothicZuinnEG-Md,14210,ㄆㄛ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=坡；頁碼=72。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,1319,LinGothicZuinnEG-Md,14385,ㄉㄠ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=刀；頁碼=73。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,1319,LinGothicZuinnEG-Md,14461,ㄊㄢˇ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=毯；頁碼=73。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,1319,LinGothicZuinnEG-Md,14593,ㄌㄞˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=賴；頁碼=83。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,2511,LinGothicZuinnEG-Md,14711,ㄍㄨ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=估；頁碼=145。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,2235,LinGothicZuinnEG-Md,14724,ㄍㄨㄟˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=貴；頁碼=127。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,2235,LinGothicZuinnEG-Md,15069,ㄓㄨㄢ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=專；頁碼=126。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,1319,LinGothicZuinnEG-Md,15142,ㄔㄨㄤ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=窗；頁碼=82。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,2235,LinGothicZuinnEG-Md,15224,ㄖㄠˇ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=擾；頁碼=126。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,2511,LinGothicZuinnEG-Md,15356,ㄘˇ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=此；頁碼=145。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,2772,StdKaiZuinnEG-Md,14233,ㄆㄢˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=判；頁碼=163。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,3223,StdKaiZuinnEG-Md,14372,ㄈㄨˇ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=俯；頁碼=193。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,2772,StdKaiZuinnEG-Md,14721,ㄍㄨㄞˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=怪；頁碼=163。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,3223,StdKaiZuinnEG-Md,15044,ㄓㄡˇ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=肘；頁碼=193。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,2772,StdKaiZuinnEG-Md,15176,ㄕㄡˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=受；頁碼=163。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,2772,StdKaiZuinnEG-Md,15495,ㄨㄛˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=握；頁碼=173。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,3223,StdKaiZuinnEG-Md,15506,ㄨㄢˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=腕；頁碼=193。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,2949,YenRoundZuinnEG-Bd,14424,ㄉㄨㄛˊ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=奪；頁碼=194。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,1513,YenRoundZuinnEG-Bd,14443,ㄊㄚˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=踏；頁碼=89。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,1513,YenRoundZuinnEG-Bd,14571,ㄋㄨㄛˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=諾；頁碼=88。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,514,YenRoundZuinnEG-Bd,14724,ㄍㄨㄟˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=貴；頁碼=25。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,514,YenRoundZuinnEG-Bd,14752,ㄎㄠˇ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=考；頁碼=23。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,744,YenRoundZuinnEG-Bd,14786,ㄎㄨㄤ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=框；頁碼=52。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,2403,YenRoundZuinnEG-Bd,14848,ㄏㄨㄢˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=換；頁碼=148。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,1172,YenRoundZuinnEG-Bd,14888,ㄐㄧㄣˇ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=緊；頁碼=73。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,298,YenRoundZuinnEG-Bd,14909,ㄐㄩㄣˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=菌；頁碼=15。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,1884,YenRoundZuinnEG-Bd,15088,ㄔㄚ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=插；頁碼=131。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,1172,YenRoundZuinnEG-Bd,15176,ㄕㄡˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=受；頁碼=66。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,298,YenRoundZuinnEG-Bd,15473,ㄧㄣˊ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=齦；頁碼=15。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,2403,YenRoundZuinnEG-Bd,15503,ㄨㄢ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=彎；頁碼=149。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,476,YenRoundZuinnEG-Md,14332,ㄇㄧˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=密；頁碼=19。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,476,YenRoundZuinnEG-Md,14357,ㄈㄣˇ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=粉；頁碼=19。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,212,YenRoundZuinnEG-Md,14431,ㄉㄨㄢˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=段；頁碼=1。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,3040,YenRoundZuinnEG-Md,14445,ㄊㄜˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=特；頁碼=197。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,476,YenRoundZuinnEG-Md,14471,ㄊㄧㄝ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=貼；頁碼=19。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,2172,YenRoundZuinnEG-Md,14490,ㄊㄨㄛ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=托；頁碼=125。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,2172,YenRoundZuinnEG-Md,14578,ㄋㄨˇ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=努；頁碼=135。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,2172,YenRoundZuinnEG-Md,14601,ㄌㄠˇ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=老；頁碼=131。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,476,YenRoundZuinnEG-Md,14686,ㄍㄞ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=該；頁碼=19。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,3040,YenRoundZuinnEG-Md,14879,ㄐㄧㄠˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=叫；頁碼=197。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,476,YenRoundZuinnEG-Md,14956,ㄑㄩㄢˇ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=犬；頁碼=19。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,2172,YenRoundZuinnEG-Md,15114,ㄔㄣˋ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=襯；頁碼=125。使用 PDF+xref 限定，避免污染其他教材字型子集。
114國小健體4下課本,,1147,ZhuYinNREG-Md,14196,ㄅㄧㄥ,PDF 原頁注音字形直接視覺確認（v3.1，2026-08-15）,全冊一般注音補齊；字元例=兵；頁碼=58。使用 PDF+xref 限定，避免污染其他教材字型子集。
115國小健體3下課本,50,5480,DFYuanChuIn-Bd-BPMW-BF,27151,ㄢ,PDF原頁4x放大＋可見注音直接視覺確認（v4.0，2026-08-15）,三下P50『沒有安全標章的電器不要使用』字元「安」；僅限 PDF+xref+課本頁，避免污染其他字型子集；不以中文字語義/預期音反填。
115國小健體3下課本,50,5480,DFYuanChuIn-Bd-BPMW-BF,27181,ㄧㄠˋ,PDF原頁4x放大＋可見注音直接視覺確認（v4.0，2026-08-15）,三下P50『沒有安全標章的電器不要使用』字元「要」；僅限 PDF+xref+課本頁，避免污染其他字型子集；不以中文字語義/預期音反填。
115國小健體3下課本,50,5480,DFYuanChuIn-Bd-BPMW-BF,27186,ㄧㄡˇ,PDF原頁4x放大＋可見注音直接視覺確認（v4.0，2026-08-15）,三下P50『沒有安全標章的電器不要使用』字元「有」；僅限 PDF+xref+課本頁，避免污染其他字型子集；不以中文字語義/預期音反填。
115國小健體3下課本,50,5480,DFYuanChuIn-Bd-BPMW-BF,27251,ㄩㄥˋ,PDF原頁4x放大＋可見注音直接視覺確認（v4.0，2026-08-15）,三下P50『沒有安全標章的電器不要使用』字元「用」；僅限 PDF+xref+課本頁，避免污染其他字型子集；不以中文字語義/預期音反填。
115國小健體3下課本,50,5480,DFYuanChuIn-Bd-BPMW-BF,27294,ㄅㄧㄠ,PDF原頁4x放大＋可見注音直接視覺確認（v4.0，2026-08-15）,三下P50『沒有安全標章的電器不要使用』字元「標」；僅限 PDF+xref+課本頁，避免污染其他字型子集；不以中文字語義/預期音反填。
115國小健體3下課本,50,5480,DFYuanChuIn-Bd-BPMW-BF,27383,ㄇㄟˊ,PDF原頁4x放大＋可見注音直接視覺確認（v4.0，2026-08-15）,三下P50『沒有安全標章的電器不要使用』字元「沒」；僅限 PDF+xref+課本頁，避免污染其他字型子集；不以中文字語義/預期音反填。
115國小健體3下課本,50,5480,DFYuanChuIn-Bd-BPMW-BF,27466,˙ㄉㄜ,PDF原頁4x放大＋可見注音直接視覺確認（v4.0，2026-08-15）,三下P50『沒有安全標章的電器不要使用』字元「的」；僅限 PDF+xref+課本頁，避免污染其他字型子集；不以中文字語義/預期音反填。
115國小健體3下課本,50,5480,DFYuanChuIn-Bd-BPMW-BF,27498,ㄉㄧㄢˋ,PDF原頁4x放大＋可見注音直接視覺確認（v4.0，2026-08-15）,三下P50『沒有安全標章的電器不要使用』字元「電」；僅限 PDF+xref+課本頁，避免污染其他字型子集；不以中文字語義/預期音反填。
115國小健體3下課本,50,5480,DFYuanChuIn-Bd-BPMW-BF,27941,ㄑㄧˋ,PDF原頁4x放大＋可見注音直接視覺確認（v4.0，2026-08-15）,三下P50『沒有安全標章的電器不要使用』字元「器」；僅限 PDF+xref+課本頁，避免污染其他字型子集；不以中文字語義/預期音反填。
115國小健體3下課本,50,5480,DFYuanChuIn-Bd-BPMW-BF,27981,ㄑㄩㄢˊ,PDF原頁4x放大＋可見注音直接視覺確認（v4.0，2026-08-15）,三下P50『沒有安全標章的電器不要使用』字元「全」；僅限 PDF+xref+課本頁，避免污染其他字型子集；不以中文字語義/預期音反填。
115國小健體3下課本,50,5480,DFYuanChuIn-Bd-BPMW-BF,28070,ㄓㄤ,PDF原頁4x放大＋可見注音直接視覺確認（v4.0，2026-08-15）,三下P50『沒有安全標章的電器不要使用』字元「章」；僅限 PDF+xref+課本頁，避免污染其他字型子集；不以中文字語義/預期音反填。
