glyph_sha256,bopomofo,source_font,source_gid,verification,notes
dd574a0dea8f01d4dc978bd615401457b4b2095d17c660c21e38efe468c5fb76,ㄔㄠ,DFPYuanW5-ZhuIn-BFW,15170,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #15; occurrences=5; runtime SHA-256 exact-only
551e0921087e47db2f6bded09c93156d71fd0e5ba4a8dc347a2977948f1f56b0,ㄍㄥˋ,DFPYuanW5-PoIn1-BFW,14788,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #16; occurrences=5; runtime SHA-256 exact-only
7a1482210f216133ebd308753461861b403aa5a6b2cd36798c69cf9b4eea8d75,ㄆㄠˋ,DFPBiaoKai-W5-ZhuIn-BFW,14329,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #17; occurrences=5; runtime SHA-256 exact-only
b9bcc6fe55e5d5d4bc976aef70043b9d3750156f29ea0afae3ba507f1a809b2a,ㄅㄨˋ,DFHeiPoIn1-Bd-BPMW-BF,14353,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #18; occurrences=4; runtime SHA-256 exact-only
d7bded4d9bb80d8e97f72e0ffb5babcaf605cb84455ce634d8405891e5e30cc8,ㄈㄣˋ,DFPYuanW5-PoIn1-BFW,14458,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #19; occurrences=4; runtime SHA-256 exact-only
88798da1cb38ffc52e9ab77556a903044c1de5a2b6614bc036caf31122753c52,ㄕㄢˋ,DFPYuanW5-ZhuIn-BFW,15249,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #20; occurrences=4; runtime SHA-256 exact-only
9d266aec6f70bc4e73e64381c48194539e3527d05a01a86e5ff698efe17a135e,ㄑㄧㄢˋ,DFPBiaoKai-W5-ZhuIn-BFW,15009,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #21; occurrences=4; runtime SHA-256 exact-only
a332cbf94313dc4f7be3ba42a0d72716b99092d23fac1ae391d606081dfaf44e,ㄌㄧㄤˋ,DFHeiPoIn1-Bd-BPMW-BF,14768,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #22; occurrences=4; runtime SHA-256 exact-only
5aa284a5f3ce28e9f6042aa37521fb6623fca46d87f5e94d84e32efa558c73ef,ㄇㄧㄠˇ,DFPBiaoKai-W5-ZhuIn-BFW,14423,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #23; occurrences=4; runtime SHA-256 exact-only
6254a67be37e9404fed877e59234c1c47638c4b5fd77431a8e1e0779ffc7c887,˙ㄉㄜ,DFHeiPoIn1-Bd-BPMW-BF,14522,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #24; occurrences=4; runtime SHA-256 exact-only
2b3af4d3bb67dd1c5af2e5ed85b3b38cfc6d2f0c4574718079e0a6ea53018233,ㄔㄨㄥˊ,DFPYuanW5-PoIn1-BFW,15220,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #25; occurrences=4; runtime SHA-256 exact-only
3c02c4a82660ad187d959c897cc75a9cc25b47e8a15ee5497122db05c41dfb5e,ㄌㄢˊ,DFPBiaoKai-W5-ZhuIn-BFW,14692,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #26; occurrences=4; runtime SHA-256 exact-only
aa78af28aec7ad628ad9d1c5c8f88e079e03ecf87f158e5d5bedae0fdcc84287,ㄋㄧㄣˊ,DFPBiaoKai-W5-ZhuIn-BFW,14651,v4.2 fingerprint-source conflict cleanup: v3.8 isolated glyph + exact symbol recombination re-verification confirms ㄋㄧㄣˊ; stale v3.5 ㄋㄧㄢˊ label retired.,source DFPBiaoKai-W5-ZhuIn-BFW#14651; char 您; mapping correction v38; exact raw-glyf SHA gate; no Han/context expected-reading backfill.
8b647ec4b01e282d2da67083328898ec44d235c99f723a84f8bf3ead308bb993,ㄧ,DFPYuanW5-PoIn2-BFW,14166,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #28; occurrences=3; runtime SHA-256 exact-only
5a76e2da971994556e7644d923eb8fa2e38a4d7eae8c43341ced85f8e2f51e0d,ㄍㄨㄞˋ,DFPBiaoKai-W5-ZhuIn-BFW,14802,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #29; occurrences=3; runtime SHA-256 exact-only
0ed197f1d1463f132183e93aa540eb74e6646dc2732da72093ad8f94c7d9424d,ㄈㄣˋ,DFPBiaoKai-W5-PoIn1-BFW,14457,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #30; occurrences=3; runtime SHA-256 exact-only
2e1a3d1d7777597bcd895854ea66e54546ba4af7bf6ea199898919b77aa78444,ㄏㄚ,DFPBiaoKai-W5-ZhuIn-BFW,14872,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #31; occurrences=3; runtime SHA-256 exact-only
ee34ecb0d6f1151ac044beb070b2eaad9f96bb2a74f519cb18c98d85fb7ef1d9,ㄕㄠˋ,DFPBiaoKai-W5-ZhuIn-BFW,15241,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #32; occurrences=3; runtime SHA-256 exact-only
ee9aec2050e6d4a53f14763b9306a9bb5ccfd4904d512a98f558a8447be04ce0,ㄋㄨㄛˋ,DFPYuanW5-ZhuIn-BFW,14663,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #33; occurrences=3; runtime SHA-256 exact-only
bcbf3ba535f13853bd53adeed333d8cdf5789fbe7f9f85b3ad4d73cc95cf8f19,ㄔㄨˇ,DFPYuanW5-PoIn1-BFW,15197,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #34; occurrences=3; runtime SHA-256 exact-only
c05e3742a81ea893f883b477b646b2554266b7e4e0789d8ba10ccbe5649b1e92,ㄓㄨㄢˋ,DFPYuanW5-PoIn1-BFW,15145,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #35; occurrences=3; runtime SHA-256 exact-only
59a70324e58406183a2ccbf182b77e466e80b7a30c9f90b14e73a727a05fd228,ㄊㄧㄠˇ,DFHeiPoIn1-Bd-BPMW-BF,14615,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #36; occurrences=3; runtime SHA-256 exact-only
143aea467f0f57bbcbd13d7e4a7d1967446a0559e2541640fe432c8c4c95dfaa,ㄊㄢˊ,DFPYuanW5-PoIn1-BFW,14555,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #37; occurrences=3; runtime SHA-256 exact-only
4254f8e825f99c736f686645dbabd511596fcf848ea2fb2a25d2cef56d29be49,ㄇㄛˋ,DFPBiaoKai-W5-ZhuIn-BFW,14384,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #38; occurrences=3; runtime SHA-256 exact-only
a710bfc6e1fb3e677afe27b77d7cfa448d80cd5309ddca12345a03fc6c9c0ab9,ㄛ,DFHeiPoIn1-Bd-BPMW-BF,14171,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #39; occurrences=3; runtime SHA-256 exact-only
742ffd7342fa9e300278a786bd74b235484f10abf1db901a2eddc1ec3b53d5f8,ㄍㄨㄞˇ,DFPBiaoKai-W5-ZhuIn-BFW,14803,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #40; occurrences=3; runtime SHA-256 exact-only
a3b68c4e5cd979c6dd8782f89f914f07b636fd2ec94b31c15afbbeb4be692774,ㄐㄧˇ,DFHeiPoIn1-Bd-BPMW-BF,14987,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #41; occurrences=2; runtime SHA-256 exact-only
e9d5992dd818172aff3117f55acdac670875899a19d9dd9561ae4aaa41e510b3,ㄙㄨㄢ,DFPBiaoKai-W5-ZhuIn-BFW,15454,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #42; occurrences=2; runtime SHA-256 exact-only
aac0adf25f78f9c54db7ba01734ea48c4a5f2e3d945834ee2bf0a93ced03d5f8,ㄎㄨㄣˋ,DFPBiaoKai-W5-ZhuIn-BFW,14863,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #43; occurrences=2; runtime SHA-256 exact-only
4230bfcd2361c426b7cc7518a17b048a7473288ee912350a9142dd7ff37ea183,ㄖㄠˇ,DFPBiaoKai-W5-ZhuIn-BFW,15288,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #44; occurrences=2; runtime SHA-256 exact-only
6d8d6d3c0d40e6da88af7a64c22ac94720e993ba83e4b7daa292b187bbe957e0,˙ㄇㄜ,DFHeiPoIn1-Bd-BPMW-BF,14429,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #45; occurrences=2; runtime SHA-256 exact-only
19efca2d018f3f0df9f1d7af800ef3d5be1d98bc28148cba373607f8b89acacb,ㄍㄨˊ,DFPBiaoKai-W5-PoIn1-BFW,14791,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #46; occurrences=2; runtime SHA-256 exact-only
e6909bf83a55949b9167b6f8ac76144ca37936dde9313cc4b4e8024625e1e976,ㄕㄞˋ,DFPBiaoKai-W5-ZhuIn-BFW,15236,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #47; occurrences=2; runtime SHA-256 exact-only
7213a44613281a92661eafa9aaf602e7e09599d78f8bc7d9acae360218a39aca,ㄊㄨㄛˊ,DFPBiaoKai-W5-ZhuIn-BFW,14586,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #48; occurrences=2; runtime SHA-256 exact-only
ed3c2b6c3e69f549055868064de6084d82c713e4c4eda3618f8d92a8d042c341,ㄊㄧˋ,DFPBiaoKai-W5-ZhuIn-BFW,14564,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #49; occurrences=2; runtime SHA-256 exact-only
042eac6d189b21494d4da747ce47ceca9d6d9d554aca629090208e7fb1aec866,ㄎㄨㄢ,DFPBiaoKai-W5-ZhuIn-BFW,14860,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #50; occurrences=2; runtime SHA-256 exact-only
95ae74e433977d564ea9df23e3591468b61c3ff2ecb5181de6f42fa672858b19,ㄔㄨㄣˇ,DFPBiaoKai-W5-ZhuIn-BFW,15213,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #51; occurrences=2; runtime SHA-256 exact-only
7c91e2af508dc4823f9eb58fe70bb809ea1764dcfd9e6f25f71717ec90263a82,˙ㄋㄜ,DFHeiPoIn1-Bd-BPMW-BF,15535,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #52; occurrences=2; runtime SHA-256 exact-only
a43b3c7d8f0367b5248352147e8d9c35fa8a624c8514e9502c95872c90ce545b,ㄈㄣˋ,DFHeiPoIn1-Bd-BPMW-BF,14500,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #53; occurrences=2; runtime SHA-256 exact-only
24e84f8f55c2bd1d17474fe9bf6c34f4dc9ca57cc5347e06b84adce13715a36e,ㄆㄧㄠˇ,DFHeiPoIn1-Bd-BPMW-BF,14402,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #54; occurrences=2; runtime SHA-256 exact-only
086ed5641ce896ac5002eb63fd05b95d943d8219bc8ef88470fba24791f08ad3,ㄇㄧㄠˊ,DFPBiaoKai-W5-ZhuIn-BFW,14421,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #55; occurrences=2; runtime SHA-256 exact-only
61415a680e8c8ebd726dabdd83dcf715f6066bd37d653f6878eda1d512067183,ㄔㄠ,DFPBiaoKai-W5-ZhuIn-BFW,15169,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #56; occurrences=2; runtime SHA-256 exact-only
2b69f7f8527b8affae0f247d17a19849e0c6716dbb7b381fec6b1ae52fb21a67,ㄙㄨㄢ,DFPYuanW5-ZhuIn-BFW,15455,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #57; occurrences=2; runtime SHA-256 exact-only
b7a8c0243b6ab1cfd18ec21b9f729ce4f03b4edd35bc46f87eb2a7972bc03392,ㄋㄨㄥˊ,DFPYuanW5-ZhuIn-BFW,14667,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #58; occurrences=2; runtime SHA-256 exact-only
e10214576f1e94725df03fd533f078aa5ba417fa38e8517a94f898c83730b8e6,ㄧㄚˊ,DFPBiaoKai-W5-ZhuIn-BFW,14170,v3.5 三上盲測：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；未使用中文字、詞境或字典預期音作為判定依據。,v3.5 TTF isolated-glyph contact #59; occurrences=2; runtime SHA-256 exact-only
650978acd5e9ba6d329c0ed81869dd9e9b9ce9f88e3ee783ef0f7bd5522fd8f8,ㄔㄨㄥˊ,DFHeiPoIn1-Bd-BPMW-BF,15262,v3.5 三上盲測剩餘TTF：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；中文字、頁面詞境與字典僅在完成標記後作獨立驗證，不作主要判定依據。,v3.5 remaining-TTF isolated glyph #1; occurrences=2; runtime SHA-256 exact-only
1ee7c0155a7492c0acb71650c5a1a14f345ecc8850954b2bcfdc58a9b76d011e,ㄆㄥˋ,DFPBiaoKai-W5-ZhuIn-BFW,14348,v3.5 三上盲測剩餘TTF：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；中文字、頁面詞境與字典僅在完成標記後作獨立驗證，不作主要判定依據。,v3.5 remaining-TTF isolated glyph #2; occurrences=2; runtime SHA-256 exact-only
51b989717e3b45d61885a0854d828c78a2e563ee02cde7bf411c0a9b653218b5,ㄑㄧㄠˋ,DFPBiaoKai-W5-ZhuIn-BFW,15002,v3.5 三上盲測剩餘TTF：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；中文字、頁面詞境與字典僅在完成標記後作獨立驗證，不作主要判定依據。,v3.5 remaining-TTF isolated glyph #3; occurrences=2; runtime SHA-256 exact-only
dcb498c35c9ff7677d6abeefbda774cf5ae41d97046126e787ac6e5ad6ced828,ㄖㄡˊ,DFPBiaoKai-W5-ZhuIn-BFW,15289,v3.5 三上盲測剩餘TTF：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；中文字、頁面詞境與字典僅在完成標記後作獨立驗證，不作主要判定依據。,v3.5 remaining-TTF isolated glyph #4; occurrences=2; runtime SHA-256 exact-only
996039553e85dcccc1e33812ef5b28d4a4ae1e4abe5bc1f769e3e6cc28fd791a,ㄍㄨㄞˇ,DFPYuanW5-ZhuIn-BFW,14804,v3.5 三上盲測剩餘TTF：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；中文字、頁面詞境與字典僅在完成標記後作獨立驗證，不作主要判定依據。,v3.5 remaining-TTF isolated glyph #5; occurrences=2; runtime SHA-256 exact-only
9e31f2434f0cdc442a79b4220e070b179218ebfcf1aed6a84156787eb92c2d3d,ㄨㄟˊ,DFHeiPoIn1-Bd-BPMW-BF,14261,v3.5 三上盲測剩餘TTF：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；中文字、頁面詞境與字典僅在完成標記後作獨立驗證，不作主要判定依據。,v3.5 remaining-TTF isolated glyph #6; occurrences=1; runtime SHA-256 exact-only
06958c3ff2e578d0c041436f33fbfe4e99e03427455bca997edaeccd82349b3f,ㄉㄠˋ,DFHeiPoIn1-Bd-BPMW-BF,14529,v3.5 三上盲測剩餘TTF：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；中文字、頁面詞境與字典僅在完成標記後作獨立驗證，不作主要判定依據。,v3.5 remaining-TTF isolated glyph #7; occurrences=1; runtime SHA-256 exact-only
8a44fa67bc6a3d22bc48e70542d09a10e4dc735bc5a3b7f9c6ac2412033b4dd0,ㄉㄤˋ,DFHeiPoIn1-Bd-BPMW-BF,14538,v3.5 三上盲測剩餘TTF：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；中文字、頁面詞境與字典僅在完成標記後作獨立驗證，不作主要判定依據。,v3.5 remaining-TTF isolated glyph #8; occurrences=1; runtime SHA-256 exact-only
e1e1e8eeaa18437c93447093287544bc8ed0437b345289148bd46fff4e4d8a9b,ㄍㄜˋ,DFHeiPoIn1-Bd-BPMW-BF,14806,v3.5 三上盲測剩餘TTF：只檢視 isolated TrueType 注音元件字形，直接人工讀取注音與聲調；中文字、頁面詞境與字典僅在完成標記後作獨立驗證，不作主要判定依據。,v3.5 remaining-TTF isolated glyph #9; occurrences=1; runtime SHA-256 exact-only
