style_group,signature,bopomofo_symbol,contact_sheet_row,occurrence_count,verification,notes
BIAOKAI_W5,7eeefe35ac710e1c5fec96b4ad11b84af37a56e8,ㄉ,11,149,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 11; machine hint ㄉ/ㄌ only for audit, not used as truth"
BIAOKAI_W5,937da95872cdfaece66611ed2a8a585dfaf04735,ㄊ,12,80,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 12; machine hint ㄊ/ㄠ only for audit, not used as truth"
BIAOKAI_W5,7c9546a344e05c2efec30e3efac973120e92c71d,ㄊ,13,70,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 13; machine hint ㄊ/ㄠ only for audit, not used as truth"
BIAOKAI_W5,0c7f9f44a93ae993db00ea5fc77615d0c15ff27e,ㄋ,14,16,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 14; machine hint ㄋ/ㄎ only for audit, not used as truth"
BIAOKAI_W5,c2061c00df25e76284d4678ae7e883b02ae79d40,ㄋ,15,60,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 15; machine hint ㄋ/ㄎ only for audit, not used as truth"
BIAOKAI_W5,d3a0731b4b76e1149b17a1a2d996e051e371b013,ㄍ,16,106,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 16; machine hint ㄍ/ㄎ only for audit, not used as truth"
BIAOKAI_W5,91420d860f1e2970fff29a7206512e4792d672c7,ㄍ,17,75,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 17; machine hint ㄍ/ㄎ only for audit, not used as truth"
BIAOKAI_W5,c3ea6ee1c867cb9e87e6d32616cf4848e1a5ca91,ㄎ,18,65,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 18; machine hint ㄎ/ㄋ only for audit, not used as truth"
BIAOKAI_W5,acf956905a54fc2c0f5b00f3f413315b2193e9d9,ㄎ,19,29,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 19; machine hint ㄎ/ㄋ only for audit, not used as truth"
BIAOKAI_W5,acf2391ab5fdabb9c816f412c8d55e42d3c1adb3,ㄏ,20,73,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 20; machine hint ㄏ/ㄕ only for audit, not used as truth"
BIAOKAI_W5,3f35cc28a9f4759a3305b9fcd58bc6ec0b66e6b8,ㄏ,21,79,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 21; machine hint ㄏ/ㄕ only for audit, not used as truth"
BIAOKAI_W5,b0c2f5b9853fa643e9d253ce7fb36f6ec89ee3b1,ㄐ,22,103,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 22; machine hint ㄐ/ㄔ only for audit, not used as truth"
BIAOKAI_W5,24bd6d308bf676e60e80f3bfab5ac2fc5a6c4014,ㄐ,23,2,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 23; machine hint ㄐ/ㄔ only for audit, not used as truth"
BIAOKAI_W5,ca81fbb1af4c7e58268b853a2b317b37fa5404ee,ㄐ,24,235,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 24; machine hint ㄐ/ㄔ only for audit, not used as truth"
BIAOKAI_W5,0ff22d6668cf48893fc82b419a870fe6fec876ad,ㄑ,25,57,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 25; machine hint ㄑ/ㄔ only for audit, not used as truth"
BIAOKAI_W5,4c513e5ddcf9d6c6673e4ba0f4801074f4411d59,ㄑ,26,86,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 26; machine hint ㄑ/ㄔ only for audit, not used as truth"
BIAOKAI_W5,e5caed3abe51a860e0faca4f81ca9b3e47ba014e,ㄒ,27,196,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 27; machine hint ㄒ/ㄚ only for audit, not used as truth"
BIAOKAI_W5,225bd86c993bd8b36284492b143b9f242a981cb6,ㄒ,28,57,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 28; machine hint ㄒ/ㄚ only for audit, not used as truth"
BIAOKAI_W5,a3ded9e884ddf891bb1cd5d41ce180ae8de9fbda,ㄓ,29,63,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 29; machine hint ㄓ/ㄠ only for audit, not used as truth"
BIAOKAI_W5,20232b82126f4919c0522ea936ef0d9b668dcbb7,ㄓ,30,201,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 30; machine hint ㄓ/ㄠ only for audit, not used as truth"
BIAOKAI_W5,bb9a0bd7a07549b43c9e8f43b60a43a6e4b0f149,ㄔ,31,114,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 31; machine hint ㄔ/ㄘ only for audit, not used as truth"
BIAOKAI_W5,5bf9a6212e45e7e1c850401a9de0735b6a162352,ㄔ,32,27,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 32; machine hint ㄔ/ㄘ only for audit, not used as truth"
BIAOKAI_W5,6429f962554b50384410d97aebd248144e0f1d76,ㄕ,33,99,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 33; machine hint ㄕ/ㄞ only for audit, not used as truth"
BIAOKAI_W5,7d9e6d4367baa467f5ff162bcf47bbb4053d0206,ㄕ,34,18,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 34; machine hint ㄕ/ㄞ only for audit, not used as truth"
BIAOKAI_W5,101c5ea70073f238750169709afe05e3408d261f,ㄕ,35,138,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 35; machine hint ㄕ/ㄞ only for audit, not used as truth"
BIAOKAI_W5,3a0a65750b58e96d81dd7952e6f7e9d6a5d1c5d8,ㄖ,36,54,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 36; machine hint ㄕ/ㄖ only for audit, not used as truth"
BIAOKAI_W5,7d998e4f41e124a4eaabcdfdcb6121529a57d218,ㄖ,37,11,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 37; machine hint ㄕ/ㄖ only for audit, not used as truth"
BIAOKAI_W5,595eabbf973e2530f7e55043986f1a661d912d2a,ㄗ,38,25,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 38; machine hint ㄗ/ㄎ only for audit, not used as truth"
BIAOKAI_W5,8fcf5abaf9adcafe9599799370206ab5d5d24fd4,ㄗ,39,66,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 39; machine hint ㄗ/ㄎ only for audit, not used as truth"
BIAOKAI_W5,97baba8995ab2db080e5d93aa241c375326c5702,ㄗ,40,39,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 40; machine hint ㄗ/ㄎ only for audit, not used as truth"
BIAOKAI_W5,d1f57f942b8fdfee1f64e3f7ca3bea9a72f3169c,ㄘ,41,11,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 41; machine hint ㄘ/ㄉ only for audit, not used as truth"
BIAOKAI_W5,2d3302c884cc1d7940d60d356600f9d5e008cc86,ㄘ,42,50,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 42; machine hint ㄘ/ㄉ only for audit, not used as truth"
BIAOKAI_W5,56856979770ed65c3f2707d01d20aff6fe965682,ㄘ,43,11,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 43; machine hint ㄘ/ㄉ only for audit, not used as truth"
BIAOKAI_W5,6244775078b09cefd00a30bb5b1ba3526ac688b4,ㄙ,44,18,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 44; machine hint ㄙ/ㄥ only for audit, not used as truth"
BIAOKAI_W5,2259c10a3da3c71ca2a40be0d6be09c858b6e0e8,ㄙ,45,42,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 45; machine hint ㄙ/ㄥ only for audit, not used as truth"
BIAOKAI_W5,c6a101dadb8f2fdf19ac08b51cad50f0f6eec792,ㄚ,46,56,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 46; machine hint ㄚ/ㄢ only for audit, not used as truth"
BIAOKAI_W5,99403f6a00594973521d61291bb224609bb90496,ㄚ,47,4,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 47; machine hint ㄚ/ㄢ only for audit, not used as truth"
BIAOKAI_W5,211b0eb38cbe1311f1fd8cd35e1da70978663e03,ㄚ,48,128,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 48; machine hint ㄚ/ㄢ only for audit, not used as truth"
BIAOKAI_W5,2b6c26c4ecfa63b716671a414fb7e90902d6f365,ㄛ,49,99,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 49; machine hint ㄛ/ㄞ only for audit, not used as truth"
BIAOKAI_W5,a429848581a5185d457e5545a49389e39cad9a86,ㄛ,50,4,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 50; machine hint ㄛ/ㄞ only for audit, not used as truth"
BIAOKAI_W5,21daf26f0b0776c99d0fdeb9c8542d9e9fa8b908,ㄛ,51,25,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 51; machine hint ㄛ/ㄞ only for audit, not used as truth"
BIAOKAI_W5,b6d0b4f1a11f46694aef7428dc64722105448669,ㄜ,52,175,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 52; machine hint ㄜ/ㄡ only for audit, not used as truth"
BIAOKAI_W5,79edaeefcb7cb72cb115513c78101dd28ea8a151,ㄜ,53,2,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 53; machine hint ㄜ/ㄡ only for audit, not used as truth"
BIAOKAI_W5,07119e576c19c67828c8b236cd9205e2857fe9e4,ㄝ,54,22,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 54; machine hint ㄝ/ㄊ only for audit, not used as truth"
BIAOKAI_W5,1f716a8890ac5426967ef9202c57f489da2cba60,ㄝ,55,2,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 55; machine hint ㄝ/ㄊ only for audit, not used as truth"
BIAOKAI_W5,b52e08215daa93ae6505d6da2f5a6a8652743ea4,ㄝ,56,110,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 56; machine hint ㄝ/ㄊ only for audit, not used as truth"
BIAOKAI_W5,6b50803070cc4e6d4c20cda518a9105dbb03ae77,ㄞ,57,8,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 57; machine hint ㄞ/ㄢ only for audit, not used as truth"
BIAOKAI_W5,5e161a81303b4ee0517ba57f863e09ea70e8082d,ㄞ,58,5,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 58; machine hint ㄞ/ㄉ only for audit, not used as truth"
BIAOKAI_W5,940b5378313948e13613f5da409cca79af3c7a32,ㄞ,59,137,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 59; machine hint ㄞ/ㄢ only for audit, not used as truth"
BIAOKAI_W5,dc3addcca09385c106446e2cda9d4266005f6a60,ㄟ,60,121,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 60; machine hint ㄟ/ㄣ only for audit, not used as truth"
BIAOKAI_W5,f5d877ee8b9f242652d3709d5389e7386a4a9d7a,ㄟ,61,72,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 61; machine hint ㄟ/ㄣ only for audit, not used as truth"
BIAOKAI_W5,254faeae6564a52f6bbbe1fffc0849da00c92768,ㄠ,62,144,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 62; machine hint ㄠ/ㄆ only for audit, not used as truth"
BIAOKAI_W5,7c31c7d39f82ccb957842defbfd10c6c6b4325df,ㄠ,63,2,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 63; machine hint ㄠ/ㄆ only for audit, not used as truth"
BIAOKAI_W5,03ce1599c879b0162530f93d96f0b6129794020c,ㄠ,64,103,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 64; machine hint ㄠ/ㄆ only for audit, not used as truth"
BIAOKAI_W5,aca586d03ddd5d3b194f77304aec6c772fab406d,ㄡ,65,37,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 65; machine hint ㄡ/ㄨ only for audit, not used as truth"
BIAOKAI_W5,e4d1cdb75e39109d40a09245286b43eb79468bba,ㄡ,66,129,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 66; machine hint ㄡ/ㄨ only for audit, not used as truth"
BIAOKAI_W5,6987779f66d6f9d82631b12c6ba9e8f12c227582,ㄢ,67,217,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 67; machine hint ㄢ/ㄎ only for audit, not used as truth"
BIAOKAI_W5,a353f52e9427894530a026cfcc1e1cc97ff304d2,ㄢ,68,255,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 68; machine hint ㄢ/ㄎ only for audit, not used as truth"
BIAOKAI_W5,28d71669fa5403a40101751bc237bce979820f32,ㄢ,69,8,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 69; machine hint ㄢ/ㄎ only for audit, not used as truth"
BIAOKAI_W5,e1700a62b3df1c3cbb6bfa221ddd820228868baa,ㄣ,70,118,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 70; machine hint ㄣ/ㄢ only for audit, not used as truth"
BIAOKAI_W5,8eb425348955b9c37a1e13589604e8573bb410ba,ㄣ,71,117,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 71; machine hint ㄣ/ㄢ only for audit, not used as truth"
BIAOKAI_W5,4ed9d657951cdf9108b5e841703ed4856c09389c,ㄤ,72,108,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 72; machine hint ㄤ/ㄜ only for audit, not used as truth"
BIAOKAI_W5,da73a3a8059de1c8ba23f28f8913bcc2e95b4f8f,ㄤ,73,141,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 73; machine hint ㄤ/ㄜ only for audit, not used as truth"
BIAOKAI_W5,27887fdb5aba6a99945a76cf9785061ca54d1e01,ㄥ,74,268,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 74; machine hint ㄥ/ㄙ only for audit, not used as truth"
BIAOKAI_W5,eb99134949468138c6c78cbc4ed23b19639cd417,ㄥ,75,135,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 75; machine hint ㄥ/ㄙ only for audit, not used as truth"
BIAOKAI_W5,96066a28dc5917a4bd7db77f17a3d0b285d4dd3d,ㄦ,76,13,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 76; machine hint ㄦ/ㄤ only for audit, not used as truth"
BIAOKAI_W5,b4e419151c1eb6774a7392a40e5245ccf1ed1fbb,ㄧ,77,263,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 77; machine hint ㄧ/ㄣ only for audit, not used as truth"
BIAOKAI_W5,4edf0dc1d771f30bbba1c31d6ac138d88a066ded,ㄧ,78,909,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 78; machine hint ㄧ/ㄣ only for audit, not used as truth"
BIAOKAI_W5,65e734eee844758c1e33b570e3facd98168b944f,ㄨ,79,271,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 79; machine hint ㄨ/ㄡ only for audit, not used as truth"
BIAOKAI_W5,7b418aac096dc06350bdbf97b7efe373bee8f771,ㄨ,80,488,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 80; machine hint ㄨ/ㄡ only for audit, not used as truth"
BIAOKAI_W5,1aec16e35f4eb85e813ad01febe04c1af891f635,ㄨ,81,105,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 81; machine hint ㄨ/ㄡ only for audit, not used as truth"
BIAOKAI_W5,23184bfc517260cf5d7478d92301dab639d12123,ㄩ,82,85,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 82; machine hint ㄩ/ㄖ only for audit, not used as truth"
BIAOKAI_W5,a78ee64f2403960e101e0d1fda2e98e7ec5ba2a3,ㄩ,83,53,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 83; machine hint ㄩ/ㄖ only for audit, not used as truth"
BIAOKAI_W5,84a626496655e5ec94c16c4331dbaf287901b4df,ㄩ,84,118,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"biaokai contact row 84; machine hint ㄩ/ㄖ only for audit, not used as truth"
YUAN_W3W5,1eb02b0689460f46c4a76babced5e97e9c0c1683,ㄅ,1,59,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 1; machine hint ㄅ/ㄉ only for audit, not used as truth"
YUAN_W3W5,7519bcbfa27e0c71c9ca98b696c9a5fcdb527750,ㄅ,2,17,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 2; machine hint ㄅ/ㄉ only for audit, not used as truth"
YUAN_W3W5,12dd7eadb742bf4a4fe4f4aa920152c5c904325b,ㄆ,3,16,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 3; machine hint ㄆ/ㄓ only for audit, not used as truth"
YUAN_W3W5,08e77880f513baeeb1bea67749eceefcb5f31d57,ㄆ,4,13,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 4; machine hint ㄆ/ㄓ only for audit, not used as truth"
YUAN_W3W5,d2a69bd3a19eb73fee2f788b85ca7e485e5e92c7,ㄇ,5,32,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 5; machine hint ㄇ/ㄖ only for audit, not used as truth"
YUAN_W3W5,374e37abfaa051f1dc6a0e35e095c83e776bd38a,ㄇ,6,14,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 6; machine hint ㄇ/ㄖ only for audit, not used as truth"
YUAN_W3W5,e681645fa28c3d97e9f640a0217244453085a520,ㄈ,7,49,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 7; machine hint ㄈ/ㄖ only for audit, not used as truth"
YUAN_W3W5,d1521a6998e1d988424535dda8d0272782a5db4a,ㄉ,8,52,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 8; machine hint ㄉ/ㄌ only for audit, not used as truth"
YUAN_W3W5,02f4f9314232dcfa84a8fa6f2a83678d4e93eb0c,ㄉ,9,31,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 9; machine hint ㄉ/ㄌ only for audit, not used as truth"
YUAN_W3W5,455c1c3c9f079ffadf66333057217e160ab117cd,ㄝ,10,1,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 10; machine hint ㄉ/ㄌ only for audit, not used as truth"
YUAN_W3W5,e4ce36df7221497ff6622bb3da6144b93e9995e0,ㄝ,11,12,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 11; machine hint ㄉ/ㄌ only for audit, not used as truth"
YUAN_W3W5,cd46664f9a04397d5b4667f1a22c1eac17c1ccb4,ㄝ,12,41,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 12; machine hint ㄉ/ㄌ only for audit, not used as truth"
YUAN_W3W5,5ae32017749f8af09cb2ed3e1e472c98b706272a,ㄍ,13,36,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 13; machine hint ㄊ/ㄍ only for audit, not used as truth"
YUAN_W3W5,87fd4b6f498456276af85b78f60bf071dfc0d92b,ㄍ,14,31,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 14; machine hint ㄊ/ㄍ only for audit, not used as truth"
YUAN_W3W5,9e1255048302b1dc8191806b0b400a8c6c1e5b0c,ㄊ,15,31,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 15; machine hint ㄊ/ㄜ only for audit, not used as truth"
YUAN_W3W5,b5597b7285359ec734c222a92cca93337be4ca2a,ㄊ,16,30,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 16; machine hint ㄊ/ㄜ only for audit, not used as truth"
YUAN_W3W5,31971591a8927e43a72e12fdcb46af9858e87976,ㄋ,17,7,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 17; machine hint ㄋ/ㄢ only for audit, not used as truth"
YUAN_W3W5,3b049e50654325ffc8220b42614c8e72ce195175,ㄋ,18,17,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 18; machine hint ㄋ/ㄢ only for audit, not used as truth"
YUAN_W3W5,8d22b75e9039d9980d63e2f38606bbe600ebc202,ㄌ,19,43,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 19; machine hint ㄌ/ㄉ only for audit, not used as truth"
YUAN_W3W5,6e232af85b72dd9dc806555cfba02447db57118d,ㄌ,20,30,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 20; machine hint ㄌ/ㄉ only for audit, not used as truth"
YUAN_W3W5,00bb9988dce0e82353cc389f05576e5cf2f7af3c,ㄎ,21,13,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 21; machine hint ㄎ/ㄢ only for audit, not used as truth"
YUAN_W3W5,72248e59e65bacc7e7e242974e07eb1b86e9cc18,ㄎ,22,26,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 22; machine hint ㄎ/ㄢ only for audit, not used as truth"
YUAN_W3W5,e683374138cbb3548d4c0c3798335e9e73e16828,ㄏ,23,30,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 23; machine hint ㄏ/ㄕ only for audit, not used as truth"
YUAN_W3W5,1e27dcad3f9cfdd7c28ffbbd5609fc6187c2557c,ㄏ,24,24,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 24; machine hint ㄏ/ㄕ only for audit, not used as truth"
YUAN_W3W5,41d0725171cc06725142c7bdaa06d75f30897c2a,ㄐ,25,24,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 25; machine hint ㄐ/ㄊ only for audit, not used as truth"
YUAN_W3W5,4ccd0ad988ffe85bfb96481e5a8c73dac448d34b,ㄐ,26,1,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 26; machine hint ㄐ/ㄊ only for audit, not used as truth"
YUAN_W3W5,c3b3708d432cf2c1d6b57e341cce63edb756f16b,ㄐ,27,72,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 27; machine hint ㄐ/ㄊ only for audit, not used as truth"
YUAN_W3W5,0115ace9f09ab46657ea26e58360397cf650b65c,ㄑ,28,17,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 28; machine hint ㄑ/ㄔ only for audit, not used as truth"
YUAN_W3W5,b9c89d00f3ee49382b4fc4468c20aa61989b8c5a,ㄑ,29,37,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 29; machine hint ㄑ/ㄔ only for audit, not used as truth"
YUAN_W3W5,831d98107fe3a810079ac93bbb18547bacd4cb17,ㄒ,30,24,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 30; machine hint ㄒ/ㄚ only for audit, not used as truth"
YUAN_W3W5,b364c96ddee0eeb8fb508cfa5b835c088b60963a,ㄒ,31,76,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 31; machine hint ㄒ/ㄚ only for audit, not used as truth"
YUAN_W3W5,8f8fb05f3d24e38bccce6d96b9698e9ebfdecacf,ㄓ,32,20,直接檢視 CFF 注音符號字形，對照 Unicode 注音符號參考表,"yuanw3 contact row 32; machine hint ㄓ/ㄛ only for audit, not used as truth"
