outline_signature,bopomofo,source_count,source_examples,verification,notes
25280e558f708a4fbbee8abd64c05244b4d74fce,˙ㄉㄜ,15,DFPYuanW5-PoIn1-BFW@xref2452#14480; DFPYuanW5-PoIn1-BFW@xref3398#14480; DFPYuanW5-PoIn1-BFW@xref3558#14480; DFPYuanW5-PoIn1-BFW@xref959#14480; DFPYuanW5-ZhuIn-BFW@xref1349#14480; DFPYuanW5-ZhuIn-BFW@xref1422#14480; DFPYuanW5-ZhuIn-BFW@xref1770#14480; DFPYuanW5-ZhuIn-BFW@xref2450#14480; DFPYuanW5-ZhuIn-BFW@xref2835#14480; DFPYuanW5-ZhuIn-BFW@xref3391#14480; DFPYuanW5-ZhuIn-BFW@xref3546#14480; DFPYuanW5-ZhuIn-BFW@xref372#14480; DFPYuanW5-ZhuIn-BFW@xref4603#14480; DFPYuanW5-ZhuIn-BFW@xref5574#14480; DFPYuanW5-ZhuIn-BFW@xref952#14480,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
7ecef898db385ce676e113aa4d686a3e943ea587,˙ㄉㄜ,1,DFPWaWa-W5-ZhuIn-BFW@xref49#14479,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
bb5c9dbab243e7585b52d8e0362a973d2d7c76e7,˙ㄉㄜ,1,DFHeiPoIn1-Bd-BPMW-BF@xref4416#14522,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
c2c244fcc399a63fa5c43546a600621ee367eec4,˙ㄉㄜ,14,DFPBiaoKai-W5-PoIn1-BFW@xref322#14479; DFPBiaoKai-W5-ZhuIn-BFW@xref1064#14479; DFPBiaoKai-W5-ZhuIn-BFW@xref1279#14479; DFPBiaoKai-W5-ZhuIn-BFW@xref1731#14479; DFPBiaoKai-W5-ZhuIn-BFW@xref2038#14479; DFPBiaoKai-W5-ZhuIn-BFW@xref2206#14479; DFPBiaoKai-W5-ZhuIn-BFW@xref2802#14479; DFPBiaoKai-W5-ZhuIn-BFW@xref308#14479; DFPBiaoKai-W5-ZhuIn-BFW@xref3276#14479; DFPBiaoKai-W5-ZhuIn-BFW@xref3372#14479; DFPBiaoKai-W5-ZhuIn-BFW@xref4404#14479; DFPBiaoKai-W5-ZhuIn-BFW@xref5004#14479; DFPBiaoKai-W5-ZhuIn-BFW@xref5643#14479; DFPBiaoKai-W5-ZhuIn-BFW@xref846#14479,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
9982424d641cfb2db3af771c22fa0d2716fc80d4,˙ㄊㄡ,1,DFPBiaoKai-W5-PoIn1-BFW@xref322#14549,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
5c0b3c89d45b3cb21b555e8e9ba960748254ff0b,˙ㄋㄚ,1,DFPBiaoKai-W5-PoIn2-BFW@xref3283#14606,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
4dcfac80fe904e2880aef5de1bb5fe3a66dd4b13,˙ㄋㄜ,1,DFYuanPoIn1-Bd-BPMW-BF@xref603#15535,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
81828c4ba0b173f0ae9fed71c37cf769ad3a15fa,˙ㄋㄜ,1,DFPBiaoKai-W5-PoIn1-BFW@xref322#15492,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
bbba7898c91e60fe94070de95e3b930f7521fecd,˙ㄋㄜ,2,DFHeiPoIn1-Bd-BPMW-BF@xref1331#15535; DFHeiPoIn1-Bd-BPMW-BF@xref2459#15535,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
e091695252fafbbab7a9287d6fce9167169829cc,˙ㄋㄜ,3,DFPYuanW5-ZhuIn-BFW@xref1770#15493; DFPYuanW5-ZhuIn-BFW@xref2835#15493; DFPYuanW5-ZhuIn-BFW@xref372#15493,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
11547ce3108e25415ccc991a7991ea672ae2cbbe,˙ㄌㄚ,1,DFPBiaoKai-W5-PoIn1-BFW@xref839#14672,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
86ca0c855cf1711a4057e162be24a4e42fa11746,˙ㄌㄜ,4,DFPYuanW5-ZhuIn-BFW@xref2835#14678; DFPYuanW5-ZhuIn-BFW@xref3391#14678; DFPYuanW5-ZhuIn-BFW@xref372#14678; DFPYuanW5-ZhuIn-BFW@xref952#14678,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
de8d8cfc0d64ba6416c15c91011adf3d2114146f,˙ㄌㄜ,10,DFPBiaoKai-W5-ZhuIn-BFW@xref1279#14677; DFPBiaoKai-W5-ZhuIn-BFW@xref1731#14677; DFPBiaoKai-W5-ZhuIn-BFW@xref2206#14677; DFPBiaoKai-W5-ZhuIn-BFW@xref2802#14677; DFPBiaoKai-W5-ZhuIn-BFW@xref308#14677; DFPBiaoKai-W5-ZhuIn-BFW@xref3372#14677; DFPBiaoKai-W5-ZhuIn-BFW@xref4404#14677; DFPBiaoKai-W5-ZhuIn-BFW@xref5004#14677; DFPBiaoKai-W5-ZhuIn-BFW@xref5643#14677; DFPBiaoKai-W5-ZhuIn-BFW@xref846#14677,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
0a8bf23bfe06ff93743ede8f9543df118f23ca3a,˙ㄒㄧㄥ,1,DFPYuanW5-PoIn1-BFW@xref5202#15502,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
6825f91d8d6377562df2737223d30ce1bbc8f96e,˙ㄓㄜ,7,DFPBiaoKai-W5-ZhuIn-BFW@xref1731#15101; DFPBiaoKai-W5-ZhuIn-BFW@xref2206#15101; DFPBiaoKai-W5-ZhuIn-BFW@xref2802#15101; DFPBiaoKai-W5-ZhuIn-BFW@xref3276#15101; DFPBiaoKai-W5-ZhuIn-BFW@xref4404#15101; DFPBiaoKai-W5-ZhuIn-BFW@xref5004#15101; DFPBiaoKai-W5-ZhuIn-BFW@xref846#15101,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
f630755b1bb5bdce2bc0fdf21017ba92bae0ad20,˙ㄓㄜ,4,DFPYuanW5-ZhuIn-BFW@xref1422#15102; DFPYuanW5-ZhuIn-BFW@xref2450#15102; DFPYuanW5-ZhuIn-BFW@xref3391#15102; DFPYuanW5-ZhuIn-BFW@xref3546#15102,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
5c9c817841dcaf13073aef943953d281618d6857,˙ㄗ,5,DFPYuanW5-PoIn1-BFW@xref1777#15319; DFPYuanW5-PoIn1-BFW@xref2452#15319; DFPYuanW5-PoIn1-BFW@xref3398#15319; DFPYuanW5-PoIn1-BFW@xref386#15319; DFPYuanW5-PoIn1-BFW@xref5581#15319,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
bf17af729bfb0924cebebff9c3ea1447ded5f23b,˙ㄗ,6,DFPBiaoKai-W5-ZhuIn-BFW@xref1279#15318; DFPBiaoKai-W5-ZhuIn-BFW@xref1731#15318; DFPBiaoKai-W5-ZhuIn-BFW@xref2206#15318; DFPBiaoKai-W5-ZhuIn-BFW@xref2802#15318; DFPBiaoKai-W5-ZhuIn-BFW@xref5004#15318; DFPBiaoKai-W5-ZhuIn-BFW@xref5643#15318,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
c389095593d816cd3a8d51eb6d468ea76c5a8f5e,˙ㄚ,2,DFPBiaoKai-W5-PoIn1-BFW@xref322#14125; DFPBiaoKai-W5-PoIn1-BFW@xref839#14125,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
3f681eb902a79f82e5ad2615b65d9bd53104d1a7,˙ㄧㄚ,1,DFPBiaoKai-W5-ZhuIn-BFW@xref308#15464,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
14ffcb30279f755594e3a3ace3df4a37dd5c70b0,ㄅㄚ,2,DFPBiaoKai-W5-ZhuIn-BFW@xref2206#14256; DFPBiaoKai-W5-ZhuIn-BFW@xref308#14256,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
206a7eee37b1d8e2061725bdcbfc1c7f237340b5,ㄅㄚˇ,2,DFPYuanW5-ZhuIn-BFW@xref5574#14261; DFPYuanW5-ZhuIn-BFW@xref952#14261,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
77d942d2799d922f9c09444bc070519e4690834b,ㄅㄚˇ,5,DFPBiaoKai-W5-ZhuIn-BFW@xref1731#14260; DFPBiaoKai-W5-ZhuIn-BFW@xref308#14260; DFPBiaoKai-W5-ZhuIn-BFW@xref3372#14260; DFPBiaoKai-W5-ZhuIn-BFW@xref5004#14260; DFPBiaoKai-W5-ZhuIn-BFW@xref846#14260,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
2ba48e720d73fdd48d4491ae6d4c695e453d6320,ㄅㄚˋ,1,DFPBiaoKai-W5-ZhuIn-BFW@xref1279#14259,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
e0650b13143168c8643c299c3209606d8885680a,ㄅㄛ,1,DFPBiaoKai-W5-ZhuIn-BFW@xref4404#14261,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
0b45d9fa575ce0bb610790c567ef587d06e694d4,ㄅㄛˊ,1,DFPBiaoKai-W5-ZhuIn-BFW@xref5004#14262,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
af756897acf61b7ea202b3bbf27d040dcba1e182,ㄅㄞˇ,3,DFPBiaoKai-W5-ZhuIn-BFW@xref2206#14268; DFPBiaoKai-W5-ZhuIn-BFW@xref2802#14268; DFPBiaoKai-W5-ZhuIn-BFW@xref4404#14268,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
c462d3de19da585448b0271c8da3538fa2edd9d3,ㄅㄞˇ,2,DFPYuanW5-ZhuIn-BFW@xref2835#14269; DFPYuanW5-ZhuIn-BFW@xref4603#14269,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
55d0b878e6cfa3b83aee3bc5d5f9d600ae8dcfdd,ㄅㄞˊ,2,DFPBiaoKai-W5-ZhuIn-BFW@xref1731#14266; DFPBiaoKai-W5-ZhuIn-BFW@xref846#14266,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
d7502bf1a19360a1b36fefb589b20086cb085e00,ㄅㄞˊ,3,DFPYuanW5-ZhuIn-BFW@xref1349#14267; DFPYuanW5-ZhuIn-BFW@xref1770#14267; DFPYuanW5-ZhuIn-BFW@xref1929#14267,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
15d93bf85b447c3fdd1e38dde045f43a43e2d55d,ㄅㄞˋ,2,DFPBiaoKai-W5-ZhuIn-BFW@xref2206#14267; DFPBiaoKai-W5-ZhuIn-BFW@xref3276#14267,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
b9d5f4b34d2ba0ebd72d5be2cc34f96600836014,ㄅㄞˋ,1,DFPYuanW5-ZhuIn-BFW@xref5574#14268,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
29e643d7410178cbc05865d799529770b7c16601,ㄅㄟ,2,DFPYuanW5-PoIn1-BFW@xref386#14270; DFPYuanW5-ZhuIn-BFW@xref1770#14270,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
682b9303b6565f816d75ee80de8c4934dd813daa,ㄅㄟ,1,DFPBiaoKai-W5-ZhuIn-BFW@xref1731#14269,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
655d2d31a30f9230500380b0197fd40faf4e8ed1,ㄅㄟˋ,8,DFPBiaoKai-W5-ZhuIn-BFW@xref1731#14270; DFPBiaoKai-W5-ZhuIn-BFW@xref2206#14270; DFPBiaoKai-W5-ZhuIn-BFW@xref2802#14270; DFPBiaoKai-W5-ZhuIn-BFW@xref308#14270; DFPBiaoKai-W5-ZhuIn-BFW@xref3276#14270; DFPBiaoKai-W5-ZhuIn-BFW@xref4404#14270; DFPBiaoKai-W5-ZhuIn-BFW@xref5004#14270; DFPBiaoKai-W5-ZhuIn-BFW@xref5643#14270,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
7c8129d34a6f05d121a5b585ddf96746bd9cbe4d,ㄅㄟˋ,6,DFPYuanW5-ZhuIn-BFW@xref1349#14271; DFPYuanW5-ZhuIn-BFW@xref2450#14271; DFPYuanW5-ZhuIn-BFW@xref2835#14271; DFPYuanW5-ZhuIn-BFW@xref3391#14271; DFPYuanW5-ZhuIn-BFW@xref5159#14271; DFPYuanW5-ZhuIn-BFW@xref952#14271,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
0f9e68a4b37f0a1e455154ebef841c95649dc385,ㄅㄠ,1,DFPYuanW5-ZhuIn-BFW@xref372#14273,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
6191cf4995fe2f81562b2c7fdc052d7d7b9b1b57,ㄅㄠ,3,DFPBiaoKai-W5-ZhuIn-BFW@xref1731#14272; DFPBiaoKai-W5-ZhuIn-BFW@xref308#14272; DFPBiaoKai-W5-ZhuIn-BFW@xref846#14272,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
958f0469e99e817485c43e10b280e9347d9c8a73,ㄅㄠˇ,4,DFPYuanW5-ZhuIn-BFW@xref1770#14276; DFPYuanW5-ZhuIn-BFW@xref2450#14276; DFPYuanW5-ZhuIn-BFW@xref2835#14276; DFPYuanW5-ZhuIn-BFW@xref3391#14276,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
c374d2eb3d4d2d188338c8882443ee32bd333e20,ㄅㄠˇ,9,DFPBiaoKai-W5-ZhuIn-BFW@xref1279#14275; DFPBiaoKai-W5-ZhuIn-BFW@xref1731#14275; DFPBiaoKai-W5-ZhuIn-BFW@xref2206#14275; DFPBiaoKai-W5-ZhuIn-BFW@xref2802#14275; DFPBiaoKai-W5-ZhuIn-BFW@xref308#14275; DFPBiaoKai-W5-ZhuIn-BFW@xref3276#14275; DFPBiaoKai-W5-ZhuIn-BFW@xref3372#14275; DFPBiaoKai-W5-ZhuIn-BFW@xref5643#14275; DFPBiaoKai-W5-ZhuIn-BFW@xref846#14275,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
02947bfb468938c856c3a776c53a42bfdff2bd2d,ㄅㄠˋ,1,DFPYuanW5-ZhuIn-BFW@xref2450#14275,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
ec8b66d7125bb384d09ea7eeb4b7c29da5e95c95,ㄅㄠˋ,1,DFPBiaoKai-W5-ZhuIn-BFW@xref2206#14274,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
5edef2603ddf627dc2d17b9baf7f4182cc9ef775,ㄅㄢ,3,DFPYuanW5-ZhuIn-BFW@xref3391#14277; DFPYuanW5-ZhuIn-BFW@xref372#14277; DFPYuanW5-ZhuIn-BFW@xref4603#14277,v3.7：由 v3.6 已解碼 TTF 注音元件的實際 glyf 輪廓建立；相同正規化輪廓 signature 僅在所有來源讀音一致時啟用。,執行期 exact normalized outline signature only；不使用中文字、詞義、句境或字典預期音；signature 衝突即不納入。
