font,zhuyin_component_id,bopomofo,verification,notes
DFPBiaoKai-W5-ZhuIn-BFW,14292,ㄅㄧˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,筆
DFPBiaoKai-W5-ZhuIn-BFW,14294,ㄅㄧㄝˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,別
DFPBiaoKai-W5-ZhuIn-BFW,14299,ㄅㄧㄠˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,表
DFPBiaoKai-W5-ZhuIn-BFW,14306,ㄅㄧㄥˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,並、病
DFPBiaoKai-W5-ZhuIn-BFW,14309,ㄅㄨˊ,v3.3 TTF字形自驗：直接解析 glyf 輪廓＋OOF符號分解交叉驗證,不；v3.3 修正舊表聲調誤標（glyph 為 ㄅㄨˊ）
DFPBiaoKai-W5-ZhuIn-BFW,14310,ㄅㄨˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,步、部
DFPBiaoKai-W5-ZhuIn-BFW,14320,ㄆㄞˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,排
DFPBiaoKai-W5-ZhuIn-BFW,14347,ㄆㄥˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,朋
DFPBiaoKai-W5-ZhuIn-BFW,14376,ㄇㄚ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,媽
DFPBiaoKai-W5-ZhuIn-BFW,14377,˙ㄇㄚ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,嗎
DFPBiaoKai-W5-ZhuIn-BFW,14380,ㄇㄚˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,馬、碼
DFPBiaoKai-W5-ZhuIn-BFW,14390,ㄇㄟˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,沒
DFPBiaoKai-W5-ZhuIn-BFW,14392,ㄇㄟˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,美
DFPBiaoKai-W5-ZhuIn-BFW,14395,ㄇㄠˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,帽、貌
DFPBiaoKai-W5-ZhuIn-BFW,14404,˙ㄇㄣ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,們
DFPBiaoKai-W5-ZhuIn-BFW,14405,ㄇㄣˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,門
DFPBiaoKai-W5-ZhuIn-BFW,14408,ㄇㄤˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,忙
DFPBiaoKai-W5-ZhuIn-BFW,14415,ㄇㄧˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,迷
DFPBiaoKai-W5-ZhuIn-BFW,14427,ㄇㄧㄢˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,面
DFPBiaoKai-W5-ZhuIn-BFW,14428,ㄇㄧㄢˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,免
DFPBiaoKai-W5-ZhuIn-BFW,14435,ㄇㄨˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,目
DFPBiaoKai-W5-ZhuIn-BFW,14437,ㄈㄚ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,發
DFPBiaoKai-W5-ZhuIn-BFW,14440,ㄈㄚˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,法
DFPBiaoKai-W5-ZhuIn-BFW,14454,ㄈㄢˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,反
DFPBiaoKai-W5-ZhuIn-BFW,14455,ㄈㄣ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,分
DFPBiaoKai-W5-ZhuIn-BFW,14459,ㄈㄤ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,方
DFPBiaoKai-W5-ZhuIn-BFW,14460,ㄈㄤˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,防
DFPBiaoKai-W5-ZhuIn-BFW,14461,ㄈㄤˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,放
DFPBiaoKai-W5-ZhuIn-BFW,14469,ㄈㄨˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,扶、服
DFPBiaoKai-W5-ZhuIn-BFW,14473,ㄉㄚ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,搭
DFPBiaoKai-W5-ZhuIn-BFW,14476,ㄉㄚˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,大
DFPBiaoKai-W5-ZhuIn-BFW,14477,ㄉㄚˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,打
DFPBiaoKai-W5-ZhuIn-BFW,14479,˙ㄉㄜ,直接渲染注音元件字形,的（輕聲）
DFPBiaoKai-W5-ZhuIn-BFW,14480,ㄉㄜˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,得
DFPBiaoKai-W5-ZhuIn-BFW,14482,ㄉㄞˋ,直接渲染注音元件字形,帶／戴
DFPBiaoKai-W5-ZhuIn-BFW,14486,ㄉㄠˋ,直接渲染注音元件字形,到／道
DFPBiaoKai-W5-ZhuIn-BFW,14487,ㄉㄠˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,導、倒
DFPBiaoKai-W5-ZhuIn-BFW,14494,ㄉㄤ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,當
DFPBiaoKai-W5-ZhuIn-BFW,14497,ㄉㄥ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,燈
DFPBiaoKai-W5-ZhuIn-BFW,14499,ㄉㄥˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,等
DFPBiaoKai-W5-ZhuIn-BFW,14502,ㄉㄧˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,地、第
DFPBiaoKai-W5-ZhuIn-BFW,14506,ㄉㄧㄝˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,跌
DFPBiaoKai-W5-ZhuIn-BFW,14508,ㄉㄧㄠˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,掉
DFPBiaoKai-W5-ZhuIn-BFW,14512,ㄉㄧㄢˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,店、電
DFPBiaoKai-W5-ZhuIn-BFW,14515,ㄉㄧㄥˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,定
DFPBiaoKai-W5-ZhuIn-BFW,14521,ㄉㄨㄛ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,多
DFPBiaoKai-W5-ZhuIn-BFW,14526,ㄉㄨㄟˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,對、隊
DFPBiaoKai-W5-ZhuIn-BFW,14527,ㄉㄨㄢ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,端
DFPBiaoKai-W5-ZhuIn-BFW,14534,ㄉㄨㄥˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,動
DFPBiaoKai-W5-ZhuIn-BFW,14542,ㄊㄞˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,抬
DFPBiaoKai-W5-ZhuIn-BFW,14543,ㄊㄞˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,太
DFPBiaoKai-W5-ZhuIn-BFW,14547,ㄊㄠˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,討
DFPBiaoKai-W5-ZhuIn-BFW,14554,ㄊㄢˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,談
DFPBiaoKai-W5-ZhuIn-BFW,14563,ㄊㄧˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,提
DFPBiaoKai-W5-ZhuIn-BFW,14565,ㄊㄧˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,體
DFPBiaoKai-W5-ZhuIn-BFW,14566,ㄊㄧㄝ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,貼
DFPBiaoKai-W5-ZhuIn-BFW,14573,ㄊㄧㄢ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,天
DFPBiaoKai-W5-ZhuIn-BFW,14574,ㄊㄧㄢˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,填
DFPBiaoKai-W5-ZhuIn-BFW,14577,ㄊㄧㄥ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,聽
DFPBiaoKai-W5-ZhuIn-BFW,14578,ㄊㄧㄥˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,停
DFPBiaoKai-W5-ZhuIn-BFW,14582,ㄊㄨˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,途、塗、突
DFPBiaoKai-W5-ZhuIn-BFW,14585,ㄊㄨㄛ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,脫
DFPBiaoKai-W5-ZhuIn-BFW,14588,ㄊㄨㄛˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,妥
DFPBiaoKai-W5-ZhuIn-BFW,14601,ㄊㄨㄥ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,通
DFPBiaoKai-W5-ZhuIn-BFW,14602,ㄊㄨㄥˊ,直接渲染注音元件字形,同
DFPBiaoKai-W5-ZhuIn-BFW,14604,ㄊㄨㄥˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,桶
DFPBiaoKai-W5-ZhuIn-BFW,14609,ㄋㄚˇ,直接渲染注音元件字形,哪
DFPBiaoKai-W5-ZhuIn-BFW,14616,ㄋㄟˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,內
DFPBiaoKai-W5-ZhuIn-BFW,14620,ㄋㄠˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,鬧
DFPBiaoKai-W5-ZhuIn-BFW,14634,ㄋㄥˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,能
DFPBiaoKai-W5-ZhuIn-BFW,14638,ㄋㄧˇ,直接渲染注音元件字形,你
DFPBiaoKai-W5-ZhuIn-BFW,14647,ㄋㄧㄡˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,扭
DFPBiaoKai-W5-ZhuIn-BFW,14671,ㄌㄚ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,拉
DFPBiaoKai-W5-ZhuIn-BFW,14675,ㄌㄚˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,喇
DFPBiaoKai-W5-ZhuIn-BFW,14677,˙ㄌㄜ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,了
DFPBiaoKai-W5-ZhuIn-BFW,14678,ㄌㄜˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,樂
DFPBiaoKai-W5-ZhuIn-BFW,14688,ㄌㄠˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,老
DFPBiaoKai-W5-ZhuIn-BFW,14696,ㄌㄤˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,廊
DFPBiaoKai-W5-ZhuIn-BFW,14703,ㄌㄧˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,離
DFPBiaoKai-W5-ZhuIn-BFW,14704,ㄌㄧˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,力
DFPBiaoKai-W5-ZhuIn-BFW,14705,ㄌㄧˇ,直接渲染注音元件字形,裡／理／禮
DFPBiaoKai-W5-ZhuIn-BFW,14715,ㄌㄧㄡˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,流
DFPBiaoKai-W5-ZhuIn-BFW,14719,ㄌㄧㄢˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,練
DFPBiaoKai-W5-ZhuIn-BFW,14724,ㄌㄧㄤˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,良、量
DFPBiaoKai-W5-ZhuIn-BFW,14725,ㄌㄧㄤˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,亮、輛、諒
DFPBiaoKai-W5-ZhuIn-BFW,14733,ㄌㄨˋ,直接渲染注音元件字形,路
DFPBiaoKai-W5-ZhuIn-BFW,14737,ㄌㄨㄛˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,落
DFPBiaoKai-W5-ZhuIn-BFW,14743,ㄌㄨㄣˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,輪
DFPBiaoKai-W5-ZhuIn-BFW,14744,ㄌㄨㄣˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,論
DFPBiaoKai-W5-ZhuIn-BFW,14750,ㄌㄩˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,綠
DFPBiaoKai-W5-ZhuIn-BFW,14761,ㄍㄜˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,個
DFPBiaoKai-W5-ZhuIn-BFW,14762,ㄍㄜˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,格
DFPBiaoKai-W5-ZhuIn-BFW,14768,ㄍㄟˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,給
DFPBiaoKai-W5-ZhuIn-BFW,14769,ㄍㄠ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,高
DFPBiaoKai-W5-ZhuIn-BFW,14774,ㄍㄡˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,狗
DFPBiaoKai-W5-ZhuIn-BFW,14778,ㄍㄣ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,跟
DFPBiaoKai-W5-ZhuIn-BFW,14782,ㄍㄤ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,剛
DFPBiaoKai-W5-ZhuIn-BFW,14787,ㄍㄥˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,更
DFPBiaoKai-W5-ZhuIn-BFW,14799,ㄍㄨㄛˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,過
DFPBiaoKai-W5-ZhuIn-BFW,14804,ㄍㄨㄟ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,規
DFPBiaoKai-W5-ZhuIn-BFW,14807,ㄍㄨㄢ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,關
DFPBiaoKai-W5-ZhuIn-BFW,14812,ㄍㄨㄤ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,光
DFPBiaoKai-W5-ZhuIn-BFW,14815,ㄍㄨㄥ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,公、工
DFPBiaoKai-W5-ZhuIn-BFW,14824,ㄎㄜˇ,直接渲染注音元件字形,可
DFPBiaoKai-W5-ZhuIn-BFW,14825,ㄎㄞ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,開
DFPBiaoKai-W5-ZhuIn-BFW,14829,ㄎㄠˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,靠
DFPBiaoKai-W5-ZhuIn-BFW,14832,ㄎㄡˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,扣
DFPBiaoKai-W5-ZhuIn-BFW,14833,ㄎㄡˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,口
DFPBiaoKai-W5-ZhuIn-BFW,14835,ㄎㄢˋ,直接渲染注音元件字形,看
DFPBiaoKai-W5-ZhuIn-BFW,14839,ㄎㄤ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,康
DFPBiaoKai-W5-ZhuIn-BFW,14867,ㄎㄨㄤˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,況
DFPBiaoKai-W5-ZhuIn-BFW,14876,ㄏㄜˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,和、盒、合、何
DFPBiaoKai-W5-ZhuIn-BFW,14879,ㄏㄞˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,還
DFPBiaoKai-W5-ZhuIn-BFW,14880,ㄏㄞˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,害
DFPBiaoKai-W5-ZhuIn-BFW,14886,ㄏㄠˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,號
DFPBiaoKai-W5-ZhuIn-BFW,14887,ㄏㄠˇ,直接渲染注音元件字形,好
DFPBiaoKai-W5-ZhuIn-BFW,14890,ㄏㄡˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,後
DFPBiaoKai-W5-ZhuIn-BFW,14898,ㄏㄣˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,很
DFPBiaoKai-W5-ZhuIn-BFW,14906,ㄏㄨ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,呼
DFPBiaoKai-W5-ZhuIn-BFW,14908,ㄏㄨˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,護
DFPBiaoKai-W5-ZhuIn-BFW,14911,ㄏㄨㄚˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,滑
DFPBiaoKai-W5-ZhuIn-BFW,14912,ㄏㄨㄚˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,話
DFPBiaoKai-W5-ZhuIn-BFW,14917,ㄏㄨㄛˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,或
DFPBiaoKai-W5-ZhuIn-BFW,14921,ㄏㄨㄟ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,揮
DFPBiaoKai-W5-ZhuIn-BFW,14922,ㄏㄨㄟˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,回
DFPBiaoKai-W5-ZhuIn-BFW,14923,ㄏㄨㄟˋ,直接渲染注音元件字形,會
DFPBiaoKai-W5-ZhuIn-BFW,14933,ㄏㄨㄤ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,慌
DFPBiaoKai-W5-ZhuIn-BFW,14938,ㄏㄨㄥˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,紅
DFPBiaoKai-W5-ZhuIn-BFW,14941,ㄐㄧ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,機
DFPBiaoKai-W5-ZhuIn-BFW,14942,ㄐㄧˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,及、急
DFPBiaoKai-W5-ZhuIn-BFW,14943,ㄐㄧˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,記
DFPBiaoKai-W5-ZhuIn-BFW,14944,ㄐㄧˇ,直接渲染注音元件字形,己／幾
DFPBiaoKai-W5-ZhuIn-BFW,14945,ㄐㄧㄚ,直接渲染注音元件字形,家
DFPBiaoKai-W5-ZhuIn-BFW,14947,ㄐㄧㄚˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,駕
DFPBiaoKai-W5-ZhuIn-BFW,14949,ㄐㄧㄝ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,接
DFPBiaoKai-W5-ZhuIn-BFW,14951,ㄐㄧㄝˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,借
DFPBiaoKai-W5-ZhuIn-BFW,14953,ㄐㄧㄠ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,交
DFPBiaoKai-W5-ZhuIn-BFW,14955,ㄐㄧㄠˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,較
DFPBiaoKai-W5-ZhuIn-BFW,14958,ㄐㄧㄡˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,救
DFPBiaoKai-W5-ZhuIn-BFW,14960,ㄐㄧㄢ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,肩
DFPBiaoKai-W5-ZhuIn-BFW,14961,ㄐㄧㄢˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,健
DFPBiaoKai-W5-ZhuIn-BFW,14964,ㄐㄧㄣˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,盡
DFPBiaoKai-W5-ZhuIn-BFW,14965,ㄐㄧㄣˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,緊
DFPBiaoKai-W5-ZhuIn-BFW,14966,ㄐㄧㄤ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,將
DFPBiaoKai-W5-ZhuIn-BFW,14969,ㄐㄧㄥ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,經
DFPBiaoKai-W5-ZhuIn-BFW,14971,ㄐㄧㄥˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,警、頸
DFPBiaoKai-W5-ZhuIn-BFW,14974,ㄐㄩˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,具
DFPBiaoKai-W5-ZhuIn-BFW,14977,ㄐㄩㄝˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,覺
DFPBiaoKai-W5-ZhuIn-BFW,14990,ㄑㄧˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,汽、器
DFPBiaoKai-W5-ZhuIn-BFW,14991,ㄑㄧˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,起
DFPBiaoKai-W5-ZhuIn-BFW,15001,ㄑㄧㄠˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,橋
DFPBiaoKai-W5-ZhuIn-BFW,15005,ㄑㄧㄡˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,求
DFPBiaoKai-W5-ZhuIn-BFW,15007,ㄑㄧㄢ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,鉛
DFPBiaoKai-W5-ZhuIn-BFW,15020,ㄑㄧㄥˊ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,情
DFPBiaoKai-W5-ZhuIn-BFW,15022,ㄑㄧㄥˇ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,請
DFPBiaoKai-W5-ZhuIn-BFW,15025,ㄑㄩˋ,直接渲染注音元件字形＋教材字元交叉驗證（v0.6）,去
