rule_id,priority,mode,target_char,phrase,expected_reading,excluded_phrases,source,source_url,note,pdf_contains,evidence_level
HB-T4-R026-1,10000,exact,遍,遍地,ㄅㄧㄢˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜遍只有單一注音ㄅㄧㄢˋ。,,handbook_highest
HB-T4-R027-1,10000,exact,教,教學,ㄐㄧㄠˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜閩南語念ㄍㄠ的詞是ㄐㄧㄠˋ， 閩南語念ㄍㄚ的詞是ㄐㄧㄠ。,,handbook_highest
HB-T4-R028-1,10000,exact,教,教唱,ㄐㄧㄠ,,統一用字手冊113.10.04.docx,,容易錯的注音｜閩南語念ㄍㄠ的詞是ㄐㄧㄠˋ， 閩南語念ㄍㄚ的詞是ㄐㄧㄠ。,,handbook_highest
HB-T4-R029-1,10000,exact,骨,骨骼,ㄍㄨˇ,,統一用字手冊113.10.04.docx,,容易錯的注音｜1.主要念ㄍㄨˇ，如骨骼、傘骨、骨肉。 2.「骨頭」一詞限讀「ㄍㄨˊ ㄊㄡ˙」 3.「骨」朵兒、「骨」碌限讀ㄍㄨ。,,handbook_highest
HB-T4-R030-1,10000,exact,骨,骨頭,ㄍㄨˊ,,統一用字手冊113.10.04.docx,,容易錯的注音｜1.主要念ㄍㄨˇ，如骨骼、傘骨、骨肉。 2.「骨頭」一詞限讀「ㄍㄨˊ ㄊㄡ˙」 3.「骨」朵兒、「骨」碌限讀ㄍㄨ。,,handbook_highest
HB-T4-R031-1,10000,exact,誼,友誼,ㄧˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜誼只有單一注音ㄧˋ。,,handbook_highest
HB-T4-R032-1,10000,exact,尾,尾巴,ㄨㄟˇ,,統一用字手冊113.10.04.docx,,容易錯的注音｜尾只有單一注音ㄨㄟˇ。,,handbook_highest
HB-T4-R033-1,10000,exact,阿,阿拉伯,ㄚ,,統一用字手冊113.10.04.docx,,容易錯的注音｜ㄜ：山阿、阿諛、阿房宮、姓。 ㄚ：阿拉伯、阿伯、阿斗。無ㄚˋ音。,,handbook_highest
HB-T4-R034-1,10000,exact,騎,騎兵,ㄑㄧˊ,,統一用字手冊113.10.04.docx,,容易錯的注音｜騎只有單一注音。,,handbook_highest
HB-T4-R035-1,10000,exact,背,背包,ㄅㄟ,,統一用字手冊113.10.04.docx,,容易錯的注音｜ㄅㄟ：用背、肩膀來負荷、承擔。例：背負、背書包、背小孩、背包、背黑鍋。,,handbook_highest
HB-T4-R036-1,10000,exact,當,適當,ㄉㄤˋ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R037-1,10000,exact,腕,手腕,ㄨㄢˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜腕只有單一注音ㄨㄢˋ。,,handbook_highest
HB-T4-R038-1,10000,exact,脂,脂肪,ㄓ,,統一用字手冊113.10.04.docx,,容易錯的注音｜脂只有單一注音ㄓ。,,handbook_highest
HB-T4-R039-1,10000,exact,玩,童玩,ㄨㄢˊ,,統一用字手冊113.10.04.docx,,容易錯的注音｜玩只有單一注音ㄨㄢˊ。,,handbook_highest
HB-T4-R040-1,10000,exact,刻,刻度,ㄎㄜˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜刻只有單一注音ㄎㄜˋ,,handbook_highest
HB-T4-R040-2,10000,exact,刻,雕刻,ㄎㄜˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜刻只有單一注音ㄎㄜˋ,,handbook_highest
HB-T4-R041-1,10000,exact,給,給予,ㄐㄧˇ,,統一用字手冊113.10.04.docx,,容易錯的注音｜ㄐㄧˇ音常用詞：給予、給與、供給、補給、配給、給假、自給自足、職務加給。,,handbook_highest
HB-T4-R042-1,10000,exact,炸,炸薯條,ㄓㄚˊ,,統一用字手冊113.10.04.docx,,容易錯的注音｜用油煮食物，都音ㄓㄚˊ，例：炸雞、炸油條、炸丸子、炸醬麵,,handbook_highest
HB-T4-R043,10000,exact,纍,果實纍纍,ㄌㄟˊ,,統一用字手冊113.10.04.docx,,容易錯的注音｜一字多音審定表誤刊，已與國語會確認。,,handbook_highest
HB-T4-R044,10000,exact,騰,熱騰騰,ㄊㄥˊ,,統一用字手冊113.10.04.docx,,容易錯的注音｜93.07.12.已與國語會確認。,,handbook_highest
HB-T4-R045-1,10000,exact,臭,臭味相投,ㄒㄧㄡˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜國語辭典簡編本誤為ㄔㄡˋ音，已與國語會確認。★,,handbook_highest
HB-T4-R048-1,10000,exact,塌,一塌糊塗,ㄊㄚ,,統一用字手冊113.10.04.docx,,容易錯的注音｜塌，單音ㄊㄚ。一般人會念ㄊㄚˋ，多是誤寫成【蹋】。,,handbook_highest
HB-T4-R049,10000,exact,莘,莘莘學子,ㄕㄣ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R050-1,10000,exact,搶,呼天搶地,ㄑㄧㄤ,,統一用字手冊113.10.04.docx,,容易錯的注音｜搶，碰觸，限讀【ㄑ一ㄤ】。搶地，以頭撞地。,,handbook_highest
HB-T4-R051-1,10000,exact,獷,粗獷,ㄍㄨㄤˇ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R052-1,10000,exact,搐,抽搐,ㄔㄨˋ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R053-1,10000,exact,娠,妊娠,ㄕㄣ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R054-1,10000,exact,弄,巷弄,ㄌㄨㄥˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜弄，解作【小巷】時，限讀ㄌㄨㄥˋ。,,handbook_highest
HB-T4-R055-1,10000,exact,艾,自怨自艾,ㄧˋ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R056-1,10000,exact,把,刀把,ㄅㄚˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜指槍、刀等器械可握之處，皆讀作ㄅㄚˋ。,,handbook_highest
HB-T4-R057-1,10000,exact,訌,內訌,ㄏㄨㄥˊ,,統一用字手冊113.10.04.docx,,容易錯的注音｜亦可讀作【 內 ㄏㄨㄥˋ】，但此處ㄏㄨㄥˋ寫作【鬨】。,,handbook_highest
HB-T4-R058-1,10000,exact,胖,心廣體胖,ㄆㄢˊ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R059-1,10000,exact,倆,我倆,ㄌㄧㄚˇ,,統一用字手冊113.10.04.docx,,容易錯的注音｜倆【ㄌ一ㄚˇ】，用於【兩個】之意。 倆【ㄌ一ㄤˇ】，用於【手段、花招】之意。,,handbook_highest
HB-T4-R061-1,10000,exact,葩,奇葩,ㄆㄚ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R062-1,10000,exact,拾,拾級而上,ㄕㄜˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜拾【ㄕㄜˋ】，一步一步而上的。,,handbook_highest
HB-T4-R063-1,10000,exact,癖,癖好,ㄆㄧˇ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R064-1,10000,exact,撇,撇清,ㄆㄧㄝ,,統一用字手冊113.10.04.docx,,容易錯的注音｜撇【ㄆ一ㄝ】，用於【拋棄、不顧】之意。 撇【ㄆ一ㄝˇ】，用於【國字筆畫】、【斜一邊】之意。,,handbook_highest
HB-T4-R065-1,10000,exact,埋,埋怨,ㄇㄢˊ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R066-1,10000,exact,聽,垂簾聽政,ㄊㄧㄥˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜聽【ㄊ一ㄥˋ】，用於【治理】、【任憑（聽任）】等意。,,handbook_highest
HB-T4-R067-1,10000,exact,稜,模稜兩可,ㄌㄥˊ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R068-1,10000,exact,便,便宜行事,ㄅㄧㄢˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜便【ㄅ一ㄢˋ】，方便合宜。,,handbook_highest
HB-T4-R069-1,10000,exact,稱,稱重量,ㄔㄥ,,統一用字手冊113.10.04.docx,,容易錯的注音｜稱【ㄔㄥ】重量＝秤【ㄔㄥˋ】重量。,,handbook_highest
HB-T4-R070-1,10000,exact,鰻,鰻魚,ㄇㄢˊ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R071,10000,exact,比,比比皆是,ㄅㄧˋ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R072-1,10000,exact,比,比鄰而居,ㄅㄧˋ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R073-1,10000,exact,濤,驚濤駭浪,ㄊㄠˊ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R074-1,10000,exact,拈,拈花惹草,ㄋㄧㄢˊ,,統一用字手冊113.10.04.docx,,容易錯的注音｜拈【ㄋ一ㄢˊ】→夾取。 拈【ㄋ一ㄢˇ】，通捻（ㄋ一ㄢˇ）→搓揉。,,handbook_highest
HB-T4-R075-1,10000,exact,革,病革,ㄐㄧˊ,,統一用字手冊113.10.04.docx,,容易錯的注音｜解作【危急】時，限讀ㄐ一ˊ。,,handbook_highest
HB-T4-R076-1,10000,exact,齷,齷齪,ㄨㄛˋ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R078-1,10000,exact,琺,琺瑯質,ㄈㄚˋ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R080-1,10000,exact,犛,犛牛,ㄌㄧˊ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R081-1,10000,exact,中,中規中矩,ㄓㄨㄥˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜中【ㄓㄨㄥˋ】→切合、符合。,,handbook_highest
HB-T4-R082-1,10000,exact,灸,針灸,ㄐㄧㄡˇ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R083-1,10000,exact,幾,一蹴可幾,ㄐㄧ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R084-1,10000,exact,焙,烘焙,ㄅㄟˋ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R085-1,10000,exact,韋,韋小寶,ㄨㄟˊ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R086-1,10000,exact,坷,坎坷,ㄎㄜˇ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R087-1,10000,exact,委,虛與委蛇,ㄨㄟ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R087-2,10000,exact,蛇,虛與委蛇,ㄧˊ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R088-1,10000,exact,哮,咆哮,ㄒㄧㄠ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R089-1,10000,exact,矇,矇混,ㄇㄥ,,統一用字手冊113.10.04.docx,,容易錯的注音｜亦可讀作【 ㄇㄥˊ 混】，但此處ㄇㄥˊ寫作【蒙】。,,handbook_highest
HB-T4-R090-1,10000,exact,緋,緋聞,ㄈㄟ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R091-1,10000,exact,累,家累,ㄌㄟˋ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R092-1,10000,exact,處,處女,ㄔㄨˇ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R093-1,10000,exact,嫵,嫵媚,ㄨˇ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R094-1,10000,exact,懲,懲罰,ㄔㄥˊ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R095-1,10000,exact,作,作料,ㄗㄨㄛˊ,,統一用字手冊113.10.04.docx,,容易錯的注音｜亦可讀作【 ㄗㄨㄛˇ 料】，但此處ㄗㄨㄛˇ寫作【佐】。,,handbook_highest
HB-T4-R096-1,10000,exact,行,言行,ㄒㄧㄥˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜言行、惡行、暴行等，有關【行為舉止】，皆讀作ㄒ一ㄥˋ,,handbook_highest
HB-T4-R097-1,10000,exact,紕,紕漏,ㄆㄧ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R098-1,10000,exact,佻,輕佻,ㄊㄧㄠˊ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R099-1,10000,exact,倔,倔強,ㄐㄩㄝˊ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R100-1,10000,exact,瞭,瞭若指掌,ㄌㄧㄠˇ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R101-1,10000,exact,攘,安內攘外,ㄖㄤˊ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R102-1,10000,exact,倒,本末倒置,ㄉㄠˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜倒【ㄉㄠˇ】，用於【橫躺】、【坍塌】等意。 倒【ㄉㄠˋ】，用於【上下左右方向相反】等意。,,handbook_highest
HB-T4-R103-1,10000,exact,驀,驀然回首,ㄇㄛˋ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R104-1,10000,exact,朔,撲朔,ㄕㄨㄛˋ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R105-1,10000,exact,過,過故人莊,ㄍㄨㄛˋ,,統一用字手冊113.10.04.docx,,容易錯的注音｜過，讀作【ㄍㄨㄛ】時，只解作【姓氏】之意。,,handbook_highest
HB-T4-R106-1,10000,exact,町,西門町,ㄉㄧㄥ,,統一用字手冊113.10.04.docx,,容易錯的注音｜凡地名用字，皆讀作【ㄉ一ㄥ】,,handbook_highest
HB-T4-R107-1,10000,exact,量,打量,ㄌㄧㄤˋ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R108-1,10000,exact,沏,沏茶,ㄑㄧ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R109-1,10000,exact,庾,庾澄慶,ㄩˇ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R110-1,10000,exact,咋,令人咋舌,ㄗㄜˊ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R111-1,10000,exact,咳,咳聲嘆氣,ㄏㄞ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R112-1,10000,exact,螽,螽斯之慶,ㄓㄨㄥ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R113-1,10000,exact,焢,焢土窯,ㄏㄨㄥ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R114-1,10000,exact,揶,揶揄譏諷,ㄧㄝˊ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R115-1,10000,exact,胝,胝手胼足,ㄓ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R116-1,10000,exact,佝,身形佝僂,ㄎㄡˋ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R116-2,10000,exact,僂,身形佝僂,ㄌㄡˊ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R117-1,10000,exact,圳,深圳,ㄗㄨㄣˋ,,統一用字手冊113.10.04.docx,,容易錯的注音,,handbook_highest
HB-T4-R118,10000,exact,酢,游酢,ㄘㄨˋ,,統一用字手冊113.10.04.docx,,"容易錯的注音｜讀作「ㄘㄨˋ」依據： 三兄弟名字都跟「酒」的本體（名詞）有關 兄長「游醇」，「醇酒」為味濃,香郁的純正的美酒 弟弟「游醳」，「醳酒」為新釀成的白酒 老師依所得之資料，決定讀「ㄘㄨˋ」，解釋成酢酒（醋酒，一種苦酒）。 不讀「ㄗㄨㄛˋ」： 現今雖有酬酢ㄗㄨㄛˋ（客人以酒回敬主人）用法，但屬於動詞，是他堂兄弟「游酹」（把酒灑在地上祭神）、「游酬」（敬酒）那一「房」的用法，所以「游酢」不適合讀作「ㄗㄨㄛˋ」。",,handbook_highest
HB-T5-R001-1,10000,exact,叨,叨擾,ㄊㄠ,,統一用字手冊113.10.04.docx,,同字異義｜超過本分的。,,handbook_highest
HB-T5-R002-1,10000,exact,叨,嘮叨,ㄉㄠ,,統一用字手冊113.10.04.docx,,同字異義｜話多的樣子。例：絮叨。,,handbook_highest
HB-T5-R003-1,10000,exact,伺,伺機,ㄙˋ,,統一用字手冊113.10.04.docx,,同字異義｜暗中偵察。例：窺伺、伺機而動,,handbook_highest
HB-T5-R004-1,10000,exact,伺,伺候,ㄘˋ,,統一用字手冊113.10.04.docx,,同字異義｜服侍。,,handbook_highest
HB-T5-R005-1,10000,exact,哄,哄堂,ㄏㄨㄥ,,統一用字手冊113.10.04.docx,,同字異義｜許多人發出聲音。例：一哄而散。,,handbook_highest
HB-T5-R006-1,10000,exact,哄,哄騙,ㄏㄨㄥˇ,,統一用字手冊113.10.04.docx,,同字異義｜欺騙、逗弄。例：連哄帶騙、哄小孩。,,handbook_highest
HB-T5-R007-1,10000,exact,供,供養,ㄍㄨㄥˋ,,統一用字手冊113.10.04.docx,,同字異義｜有關祭祀的、奉養的。例：供佛、供奉、供品。,,handbook_highest
HB-T5-R008-1,10000,exact,供,口供,ㄍㄨㄥ,,統一用字手冊113.10.04.docx,,同字異義｜給予、陳述案情。例：供應、提供、供出、招供。,,handbook_highest
HB-T5-R009-1,10000,exact,創,創口,ㄔㄨㄤ,,統一用字手冊113.10.04.docx,,同字異義｜受傷、傷痕。例：創傷、刀創。,,handbook_highest
HB-T5-R010-1,10000,exact,創,創始,ㄔㄨㄤˋ,,統一用字手冊113.10.04.docx,,同字異義｜開始的、獨特的。例：開創、創新、創意。,,handbook_highest
HB-T5-R011-1,10000,exact,吐,吐痰,ㄊㄨˇ,,統一用字手冊113.10.04.docx,,同字異義｜從口中出。例：吐氣、口吐白沫。,,handbook_highest
HB-T5-R012-1,10000,exact,吐,嘔吐,ㄊㄨˋ,,統一用字手冊113.10.04.docx,,同字異義｜從胃中出。例：吐血。,,handbook_highest
HB-T5-R013-1,10000,exact,繫,繫鞋帶,ㄐㄧˋ,,統一用字手冊113.10.04.docx,,同字異義｜扣、綁。,,handbook_highest
HB-T5-R014-1,10000,exact,繫,聯繫,ㄒㄧˋ,,統一用字手冊113.10.04.docx,,同字異義｜拴、連接。例：繫馬、維繫、繫念。,,handbook_highest
HB-T5-R015-1,10000,exact,抹,抹布,ㄇㄛˇ,,統一用字手冊113.10.04.docx,,同字異義｜擦、塗、除去。例：抹臉、塗抹、抹殺。,,handbook_highest
HB-T5-R016-1,10000,exact,抹,拐彎抹角,ㄇㄛˋ,,統一用字手冊113.10.04.docx,,同字異義｜繞過。,,handbook_highest
HB-T5-R017-1,10000,exact,翹,翹楚,ㄑㄧㄠˊ,,統一用字手冊113.10.04.docx,,同字異義｜舉頭、特出的。例：翹首、翹望、翹秀。,,handbook_highest
HB-T5-R018-1,10000,exact,翹,翹起,ㄑㄧㄠˋ,,統一用字手冊113.10.04.docx,,同字異義｜物體突起、死亡。例：桌布翹起、翹辮子。 ※翹翹（ㄑ一ㄠˋ）板＝蹺蹺（ㄑ一ㄠ）板,,handbook_highest
HB-T5-R019-1,10000,exact,子,妻子,˙ㄗ,,統一用字手冊113.10.04.docx,,同字異義｜單指【男子的配偶】。,,handbook_highest
HB-T5-R020-1,10000,exact,子,妻子,ㄗˇ,,統一用字手冊113.10.04.docx,,同字異義｜合指【妻與兒女】,,handbook_highest
HB-T5-R021-1,10000,exact,魄,落魄,ㄊㄨㄛˋ,,統一用字手冊113.10.04.docx,,同字異義｜一、潦倒不得志；二、個性豪放不受拘束,,handbook_highest
HB-T5-R022-1,10000,exact,魄,落魄,ㄆㄛˋ,,統一用字手冊113.10.04.docx,,同字異義｜精神恍惚，失去主宰,,handbook_highest
HB-T6-R001-1,10000,exact,磨,石磨,ㄇㄛˋ,,統一用字手冊113.10.04.docx,,同字詞性相異｜當名詞用。例：磨坊、磨房。,,handbook_highest
HB-T6-R002-1,10000,exact,磨,磨碎,ㄇㄛˊ,,統一用字手冊113.10.04.docx,,同字詞性相異｜當動詞用。例：研磨、磨平。,,handbook_highest
HB-T6-R003-1,10000,exact,文,散文,ㄨㄣˊ,,統一用字手冊113.10.04.docx,,同字詞性相異｜當名詞用（篇章、禮節）。例：文章、作文、繁文縟節。,,handbook_highest
HB-T6-R004-1,10000,exact,文,文飾,ㄨㄣˋ,,統一用字手冊113.10.04.docx,,同字詞性相異｜當動詞用（修飾、掩飾）。例：文過飾非。,,handbook_highest
HB-T6-R005-1,10000,exact,喪,喪禮,ㄙㄤ,,統一用字手冊113.10.04.docx,,同字詞性相異｜當名詞用（有關喪事的）。例：服喪、奔喪。,,handbook_highest
HB-T6-R006-1,10000,exact,喪,喪志,ㄙㄤˋ,,統一用字手冊113.10.04.docx,,同字詞性相異｜當動詞用（失去）。例：喪失、喪生。,,handbook_highest
HB-T6-R007-1,10000,exact,冠,冠蓋,ㄍㄨㄢ,,統一用字手冊113.10.04.docx,,同字詞性相異｜當名詞用（帽子）。例：皇冠、桂冠、怒髮衝冠、冠冕堂皇。,,handbook_highest
HB-T6-R008-1,10000,exact,冠,豔冠群芳,ㄍㄨㄢˋ,,統一用字手冊113.10.04.docx,,同字詞性相異｜當動詞用（領先、加上）。例：獨冠群雄、冠軍。,,handbook_highest
HB-T6-R009-1,10000,exact,署,環保署,ㄕㄨˇ,,統一用字手冊113.10.04.docx,,同字詞性相異｜當名詞用（機關單位）。例：衛生署。,,handbook_highest
